Versao;Ano;Mes;Filial;Produto;Metrica;Volume;Receita;Custo;Margem
Orçado;2021;Jan;F0009;00020;vol_venda;43874;5845771,76;4094760,42;1751011,34
Orçado;2021;Jan;F0009;00021;vol_venda;58662;5674961,88;3246941,7;2428020,18
Orçado;2021;Jan;F0010;00001;vol_venda;9380;378107,8;280180,6;97927,2
Orçado;2021;Jan;F0010;00002;vol_venda;53067;1545311,04;1121836,38;423474,66
Orçado;2021;Jan;F0010;00003;vol_venda;12940;2269287,8;1637039,4;632248,4
Orçado;2021;Jan;F0010;00004;vol_venda;25879;2687016,57;2018820,79;668195,78
Orçado;2021;Jan;F0010;00005;vol_venda;15993;7251386,13;6157944,72;1093441,41
Orçado;2021;Jan;F0010;00010;vol_venda;25298;809536;533787,8;275748,2
Orçado;2021;Jan;F0010;00011;vol_venda;17592;5164483,44;3870240;1294243,44
Orçado;2021;Jan;F0010;00012;vol_venda;5234;379150,96;254791,12;124359,84
Orçado;2021;Jan;F0010;00013;vol_venda;14538;815145,66;554479,32;260666,34
Orçado;2021;Jan;F0010;00014;vol_venda;2908;33180,28;23322,16;9858,12
Orçado;2021;Jan;F0010;00015;vol_venda;6833;41476,31;15715,9;25760,41
Orçado;2021;Jan;F0010;00018;vol_venda;1453;144922,22;101056,15;43866,07
Orçado;2021;Jan;F0010;00019;vol_venda;13813;679323,34;484283,78;195039,56
Orçado;2021;Jan;F0010;00020;vol_venda;3053;406781,72;284936,49;121845,23
Orçado;2021;Fev;F0001;00017;vol_venda;32640;3769267,2;2749920;1019347,2
Orçado;2021;Fev;F0001;00018;vol_venda;68004;6782718,96;4729678,2;2053040,76
Orçado;2021;Fev;F0001;00019;vol_venda;114038;5608388,84;3998172,28;1610216,56
Orçado;2021;Fev;F0001;00020;vol_venda;8370;1115218,8;781172,1;334046,7
Orçado;2021;Fev;F0001;00021;vol_venda;22598;2186130,52;1250799,3;935331,22
Orçado;2021;Fev;F0002;00001;vol_venda;332;13382,92;9916,84;3466,08
Orçado;2021;Fev;F0002;00002;vol_venda;1575;45864;33295,5;12568,5
Orçado;2021;Fev;F0002;00003;vol_venda;18957;3324489,09;2398250,07;926239,02
Orçado;2021;Fev;F0002;00004;vol_venda;35543;3690429,69;2772709,43;917720,26
Orçado;2021;Fev;F0002;00005;vol_venda;79421;36010275,61;30580261,84;5430013,77
Orçado;2021;Fev;F0002;00006;vol_venda;2545;154430,6;72201,65;82228,95
Orçado;2021;Fev;F0002;00007;vol_venda;88;52703,2;30443,6;22259,6
Orçado;2021;Fev;F0002;00008;vol_venda;3335;387093,45;208604,25;178489,2
Orçado;2021;Fev;F0002;00009;vol_venda;3510;3330674,1;1930851;1399823,1
Orçado;2021;Fev;F0002;00010;vol_venda;35279;1128928;744386,9;384541,1
Orçado;2021;Fev;F0002;00011;vol_venda;6757;1983652,49;1486540;497112,49
Orçado;2021;Fev;F0002;00012;vol_venda;5178;375094,32;252065,04;123029,28
Orçado;2021;Fev;F0002;00013;vol_venda;23255;1303907,85;886945,7;416962,15
Orçado;2021;Fev;F0002;00014;vol_venda;4564;52075,24;36603,28;15471,96
Orçado;2021;Fev;F0002;00015;vol_venda;1843;11187,01;4238,9;6948,11
Orçado;2021;Fev;F0002;00016;vol_venda;24659;118609,79;56222,52;62387,27
Orçado;2021;Fev;F0002;00017;vol_venda;5879;678906,92;495305,75;183601,17
Orçado;2021;Fev;F0002;00018;vol_venda;8511;848887,14;591940,05;256947,09
Orçado;2021;Fev;F0002;00019;vol_venda;36595;1799742,1;1283020,7;516721,4
Orçado;2021;Fev;F0002;00020;vol_venda;15709;2093067,16;1466120,97;626946,19
Orçado;2021;Fev;F0002;00021;vol_venda;17113;1655511,62;947204,55;708307,07
Orçado;2021;Fev;F0003;00001;vol_venda;1050;42325,5;31363,5;10962
Orçado;2021;Fev;F0003;00002;vol_venda;1628;47407,36;34415,92;12991,44
Orçado;2021;Fev;F0003;00003;vol_venda;28838;5057320,06;3648295,38;1409024,68
Orçado;2021;Fev;F0003;00004;vol_venda;30810;3199002,3;2403488,1;795514,2
Orçado;2021;Fev;F0003;00005;vol_venda;67043;30397966,63;25814236,72;4583729,91
Orçado;2021;Fev;F0003;00006;vol_venda;29577;1794732,36;839099,49;955632,87
Orçado;2021;Fev;F0003;00007;vol_venda;5176;3099906,4;1790637,2;1309269,2
Orçado;2021;Fev;F0003;00008;vol_venda;26867;3118452,69;1680530,85;1437921,84
Orçado;2021;Fev;F0003;00009;vol_venda;6162;5847183,42;3389716,2;2457467,22
Orçado;2021;Fev;F0003;00010;vol_venda;29086;930752;613714,6;317037,4
Orçado;2021;Fev;F0003;00011;vol_venda;4930;1447300,1;1084600;362700,1
Orçado;2021;Fev;F0003;00012;vol_venda;16022;1160633,68;779950,96;380682,72
Orçado;2021;Fev;F0003;00013;vol_venda;52994;2971373,58;2021191,16;950182,42
Orçado;2021;Fev;F0003;00014;vol_venda;8134;92808,94;65234,68;27574,26
Orçado;2021;Fev;F0003;00015;vol_venda;48309;293235,63;111110,7;182124,93
Orçado;2021;Fev;F0003;00016;vol_venda;40916;196805,96;93288,48;103517,48
Orçado;2021;Fev;F0003;00017;vol_venda;35248;4070439,04;2969644;1100795,04
Orçado;2021;Fev;F0003;00018;vol_venda;28839;2876401,86;2005752,45;870649,41
Orçado;2021;Fev;F0003;00019;vol_venda;67536;3321420,48;2367812,16;953608,32
Orçado;2021;Fev;F0003;00020;vol_venda;24895;3317009,8;2323450,35;993559,45
Orçado;2021;Fev;F0003;00021;vol_venda;38697;3743547,78;2141878,95;1601668,83
Orçado;2021;Fev;F0004;00001;vol_venda;16973;684181,63;506983,51;177198,12
Orçado;2021;Fev;F0004;00002;vol_venda;18909;550630,08;399736,26;150893,82
Orçado;2021;Fev;F0004;00003;vol_venda;11776;2065157,12;1489781,76;575375,36
Orçado;2021;Fev;F0004;00004;vol_venda;12213;1268075,79;952736,13;315339,66
Orçado;2021;Fev;F0004;00005;vol_venda;4362;1977774,42;1679544,48;298229,94
Orçado;2021;Fev;F0004;00010;vol_venda;18029;576928;380411,9;196516,1
Orçado;2021;Fev;F0004;00011;vol_venda;4508;1323413,56;991760;331653,56
Orçado;2021;Fev;F0004;00012;vol_venda;3926;284399,44;191117,68;93281,76
Orçado;2021;Fev;F0004;00013;vol_venda;2908;163051,56;110911,12;52140,44
Orçado;2021;Fev;F0004;00015;vol_venda;10467;63534,69;24074,1;39460,59
Orçado;2021;Fev;F0004;00017;vol_venda;4508;520583,84;379799;140784,84
Orçado;2021;Fev;F0004;00018;vol_venda;4652;463990,48;323546,6;140443,88
Orçado;2021;Fev;F0004;00019;vol_venda;16574;815109,32;581084,44;234024,88
Orçado;2021;Fev;F0004;00020;vol_venda;2908;387461,92;271403,64;116058,28
Orçado;2021;Fev;F0004;00021;vol_venda;1744;168714,56;96530,4;72184,16
Orçado;2021;Fev;F0005;00001;vol_venda;6154;248067,74;183819,98;64247,76
Orçado;2021;Fev;F0005;00002;vol_venda;1099;32002,88;23232,86;8770,02
Orçado;2021;Fev;F0005;00003;vol_venda;16893;2962525,41;2137133,43;825391,98
Orçado;2021;Fev;F0005;00004;vol_venda;22245;2309698,35;1735332,45;574365,9
Orçado;2021;Fev;F0005;00005;vol_venda;15086;6840143,26;5808713,44;1031429,82
Orçado;2021;Fev;F0005;00006;vol_venda;139;8434,52;3943,43;4491,09
Orçado;2021;Fev;F0005;00007;vol_venda;2155;1290629,5;745522,25;545107,25
Orçado;2021;Fev;F0005;00008;vol_venda;3476;403459,32;217423,8;186035,52
Orçado;2021;Fev;F0005;00009;vol_venda;488;463068,08;268448,8;194619,28
Orçado;2021;Fev;F0005;00010;vol_venda;6743;215776;142277,3;73498,7
Orçado;2021;Fev;F0005;00011;vol_venda;12165;3571279,05;2676300;894979,05
Orçado;2021;Fev;F0005;00012;vol_venda;1529;110760,76;74431,72;36329,04
Orçado;2021;Fev;F0005;00013;vol_venda;9106;510573,42;347302,84;163270,58
Orçado;2021;Fev;F0005;00014;vol_venda;6049;69019,09;48512,98;20506,11
Orçado;2021;Fev;F0005;00015;vol_venda;6674;40511,18;15350,2;25160,98
Orçado;2021;Fev;F0005;00016;vol_venda;23776;114362,56;54209,28;60153,28
Orçado;2021;Fev;F0005;00017;vol_venda;10844;1252265,12;913607;338658,12
Orçado;2021;Fev;F0005;00018;vol_venda;22591;2253226,34;1571204,05;682022,29
Orçado;2021;Fev;F0005;00019;vol_venda;37891;1863479,38;1328458,46;535020,92
Orçado;2021;Fev;F0005;00020;vol_venda;2780;370407,2;259457,4;110949,8
Orçado;2021;Fev;F0005;00021;vol_venda;7510;726517,4;415678,5;310838,9
Orçado;2021;Fev;F0007;00017;vol_venda;32640;3769267,2;2749920;1019347,2
Orçado;2021;Fev;F0007;00018;vol_venda;68004;6782718,96;4729678,2;2053040,76
Orçado;2021;Fev;F0007;00019;vol_venda;114038;5608388,84;3998172,28;1610216,56
Orçado;2021;Fev;F0007;00020;vol_venda;8370;1115218,8;781172,1;334046,7
Orçado;2021;Fev;F0007;00021;vol_venda;22598;2186130,52;1250799,3;935331,22
Orçado;2021;Fev;F0008;00001;vol_venda;722;29103,82;21566,14;7537,68
Orçado;2021;Fev;F0008;00002;vol_venda;1575;45864;33295,5;12568,5
Orçado;2021;Fev;F0008;00003;vol_venda;18957;3324489,09;2398250,07;926239,02
Orçado;2021;Fev;F0008;00004;vol_venda;35543;3690429,69;2772709,43;917720,26
Orçado;2021;Fev;F0008;00005;vol_venda;79421;36010275,61;30580261,84;5430013,77
Orçado;2021;Fev;F0008;00006;vol_venda;2545;154430,6;72201,65;82228,95
Orçado;2021;Fev;F0008;00007;vol_venda;88;52703,2;30443,6;22259,6
Orçado;2021;Fev;F0008;00008;vol_venda;3335;387093,45;208604,25;178489,2
Orçado;2021;Fev;F0008;00009;vol_venda;3510;3330674,1;1930851;1399823,1
Orçado;2021;Fev;F0008;00010;vol_venda;35279;1128928;744386,9;384541,1
Orçado;2021;Fev;F0008;00011;vol_venda;6757;1983652,49;1486540;497112,49
Orçado;2021;Fev;F0008;00012;vol_venda;5178;375094,32;252065,04;123029,28
Orçado;2021;Fev;F0008;00013;vol_venda;23255;1303907,85;886945,7;416962,15
Orçado;2021;Fev;F0008;00014;vol_venda;4564;52075,24;36603,28;15471,96
Orçado;2021;Fev;F0008;00015;vol_venda;1843;11187,01;4238,9;6948,11
Orçado;2021;Fev;F0008;00016;vol_venda;24659;118609,79;56222,52;62387,27
Orçado;2021;Fev;F0008;00017;vol_venda;5879;678906,92;495305,75;183601,17
Orçado;2021;Fev;F0008;00018;vol_venda;8511;848887,14;591940,05;256947,09
Orçado;2021;Fev;F0008;00019;vol_venda;36595;1799742,1;1283020,7;516721,4
Orçado;2021;Fev;F0008;00020;vol_venda;15709;2093067,16;1466120,97;626946,19
Orçado;2021;Fev;F0008;00021;vol_venda;17113;1655511,62;947204,55;708307,07
Orçado;2021;Fev;F0009;00001;vol_venda;14106;568612,86;421346,22;147266,64
Orçado;2021;Fev;F0009;00002;vol_venda;90705;2641329,6;1917503,7;723825,9
Orçado;2021;Fev;F0009;00003;vol_venda;28838;5057320,06;3648295,38;1409024,68
Orçado;2021;Fev;F0009;00004;vol_venda;30810;3199002,3;2403488,1;795514,2
Orçado;2021;Fev;F0009;00005;vol_venda;67043;30397966,63;25814236,72;4583729,91
Orçado;2021;Fev;F0009;00006;vol_venda;29577;1794732,36;839099,49;955632,87
Orçado;2021;Fev;F0009;00007;vol_venda;5176;3099906,4;1790637,2;1309269,2
Orçado;2021;Fev;F0009;00008;vol_venda;26867;3118452,69;1680530,85;1437921,84
Orçado;2021;Fev;F0009;00009;vol_venda;6162;5847183,42;3389716,2;2457467,22
Orçado;2021;Fev;F0009;00010;vol_venda;29086;930752;613714,6;317037,4
Orçado;2021;Fev;F0009;00011;vol_venda;4930;1447300,1;1084600;362700,1
Orçado;2021;Fev;F0009;00012;vol_venda;16022;1160633,68;779950,96;380682,72
Orçado;2021;Fev;F0009;00013;vol_venda;52994;2971373,58;2021191,16;950182,42
Orçado;2021;Fev;F0009;00014;vol_venda;8134;92808,94;65234,68;27574,26
Orçado;2021;Fev;F0009;00015;vol_venda;48309;293235,63;111110,7;182124,93
Orçado;2021;Fev;F0009;00016;vol_venda;40916;196805,96;93288,48;103517,48
Orçado;2021;Fev;F0009;00017;vol_venda;35248;4070439,04;2969644;1100795,04
Orçado;2021;Fev;F0009;00018;vol_venda;28839;2876401,86;2005752,45;870649,41
Orçado;2021;Fev;F0009;00019;vol_venda;67536;3321420,48;2367812,16;953608,32
Orçado;2021;Fev;F0009;00020;vol_venda;24895;3317009,8;2323450,35;993559,45
Orçado;2021;Fev;F0009;00021;vol_venda;38697;3743547,78;2141878,95;1601668,83
Orçado;2021;Fev;F0010;00001;vol_venda;16973;684181,63;506983,51;177198,12
Orçado;2021;Fev;F0010;00002;vol_venda;40419;1177001,28;854457,66;322543,62
Orçado;2021;Fev;F0010;00003;vol_venda;11776;2065157,12;1489781,76;575375,36
Orçado;2021;Fev;F0010;00004;vol_venda;12213;1268075,79;952736,13;315339,66
Orçado;2021;Fev;F0010;00005;vol_venda;4362;1977774,42;1679544,48;298229,94
Orçado;2021;Fev;F0010;00010;vol_venda;18029;576928;380411,9;196516,1
Orçado;2021;Fev;F0010;00011;vol_venda;4508;1323413,56;991760;331653,56
Orçado;2021;Fev;F0010;00012;vol_venda;3926;284399,44;191117,68;93281,76
Orçado;2021;Fev;F0010;00013;vol_venda;2908;163051,56;110911,12;52140,44
Orçado;2021;Fev;F0010;00015;vol_venda;10467;63534,69;24074,1;39460,59
Orçado;2021;Fev;F0010;00017;vol_venda;4508;520583,84;379799;140784,84
Orçado;2021;Fev;F0010;00018;vol_venda;4652;463990,48;323546,6;140443,88
Orçado;2021;Fev;F0010;00019;vol_venda;16574;815109,32;581084,44;234024,88
Orçado;2021;Fev;F0010;00020;vol_venda;2908;387461,92;271403,64;116058,28
Orçado;2021;Fev;F0010;00021;vol_venda;1744;168714,56;96530,4;72184,16
Orçado;2021;Mar;F0001;00017;vol_venda;69474;8022857,52;5853184,5;2169673,02
Orçado;2021;Mar;F0001;00018;vol_venda;52520;5238344,8;3652766;1585578,8
Orçado;2021;Mar;F0001;00019;vol_venda;94158;4630690,44;3301179,48;1329510,96
Orçado;2021;Mar;F0001;00020;vol_venda;106712;14218306,88;9959430,96;4258875,92
Orçado;2021;Mar;F0001;00021;vol_venda;180156;17428291,44;9971634,6;7456656,84
Orçado;2021;Mar;F0002;00001;vol_venda;708;28539,48;21147,96;7391,52
Orçado;2021;Mar;F0002;00002;vol_venda;265;7716,8;5602,1;2114,7
Orçado;2021;Mar;F0002;00003;vol_venda;81705;14328605,85;10336499,55;3992106,3
Orçado;2021;Mar;F0002;00004;vol_venda;56256;5841060,48;4388530,56;1452529,92
Orçado;2021;Mar;F0002;00005;vol_venda;78370;35533741,7;30175584,8;5358156,9
Orçado;2021;Mar;F0002;00006;vol_venda;12287;745575,16;348582,19;396992,97
Orçado;2021;Mar;F0002;00007;vol_venda;11672;6990360,8;4037928,4;2952432,4
Orçado;2021;Mar;F0002;00008;vol_venda;6933;804713,31;433659,15;371054,16
Orçado;2021;Mar;F0002;00009;vol_venda;4212;3996808,92;2317021,2;1679787,72
Orçado;2021;Mar;F0002;00010;vol_venda;63100;2019200;1331410;687790
Orçado;2021;Mar;F0002;00011;vol_venda;15621;4585856,97;3436620;1149236,97
Orçado;2021;Mar;F0002;00012;vol_venda;5177;375021,88;252016,36;123005,52
Orçado;2021;Mar;F0002;00013;vol_venda;50638;2839272,66;1931333,32;907939,34
Orçado;2021;Mar;F0002;00014;vol_venda;31069;354497,29;249173,38;105323,91
Orçado;2021;Mar;F0002;00015;vol_venda;64416;391005,12;148156,8;242848,32
Orçado;2021;Mar;F0002;00016;vol_venda;44141;212318,21;100641,48;111676,73
Orçado;2021;Mar;F0002;00017;vol_venda;7721;891621,08;650494,25;241126,83
Orçado;2021;Mar;F0002;00018;vol_venda;20184;2013152,16;1403797,2;609354,96
Orçado;2021;Mar;F0002;00019;vol_venda;47653;2343574,54;1670714,18;672860,36
Orçado;2021;Mar;F0002;00020;vol_venda;31155;4151092,2;2907696,15;1243396,05
Orçado;2021;Mar;F0002;00021;vol_venda;41334;3998651,16;2287836,9;1710814,26
Orçado;2021;Mar;F0003;00001;vol_venda;4267;172002,77;127455,29;44547,48
Orçado;2021;Mar;F0003;00002;vol_venda;3282;95571,84;69381,48;26190,36
Orçado;2021;Mar;F0003;00003;vol_venda;40670;7132297,9;5145161,7;1987136,2
