Filial	Produto	Versão	Mês	Volume	Receita	Custo	Margem
F0004	00001	Realizado	mai	9271,9	390569,052	288029,7191	102539,3329
F0004	00001	Realizado	mar	173,8	7321,14251	5399,06224	1922,08027
F0004	00001	Realizado	nov	7016,9	295579,5448	217978,5951	77600,94964
F0004	00001	Realizado	out	484	20387,9918	15035,3632	5352,6286
F0004	00001	Realizado	set	13657,6	575312,0595	424270,6125	151041,447
F0005	00001	Realizado	abr	880	37069,076	27337,024	9732,052
F0005	00001	Realizado	ago	20793,3	875895,9295	645939,7058	229956,2237
F0005	00001	Realizado	dez	865,7	36466,70352	26892,79736	9573,906155
F0005	00001	Realizado	fev	6769,4	285153,8671	210290,0571	74863,81001
F0005	00001	Realizado	jan	2195,6	92487,34462	68205,87488	24281,46974
F0005	00001	Realizado	jul	724,9	30535,65136	22518,87352	8016,777835
F0005	00001	Realizado	jun	528	22241,4456	16402,2144	5839,2312
F0005	00001	Realizado	mai	785,4	33084,15033	24398,29392	8685,85641
F0005	00001	Realizado	mar	400,4	16866,42958	12438,34592	4428,08366
F0005	00001	Realizado	nov	3082,2	129834,4387	95747,92656	34086,51213
F0005	00001	Realizado	out	1202,3	50645,62509	37349,20904	13296,41605
F0005	00001	Realizado	set	6347	267360,7107	197168,2856	70192,42505
F0006	00001	Realizado	abr	1549,9	65287,91011	48147,33352	17140,57659
F0006	00001	Realizado	ago	32936,2	1387402,842	1023156,466	364246,3762
F0006	00001	Realizado	dez	1344,2	56623,01359	41757,30416	14865,70943
F0006	00001	Realizado	jul	14388	606079,3926	446960,3424	159119,0502
F0006	00001	Realizado	jun	515,9	21731,74581	16026,33032	5705,415485
F0006	00001	Realizado	mai	14561,8	613400,5351	452359,4046	161041,1305
F0006	00001	Realizado	mar	1136,3	47865,44439	35298,93224	12566,51215
F0006	00001	Realizado	nov	50791,4	2139534,394	1577824,683	561709,7113
F0006	00001	Realizado	out	2428,8	102310,6498	75450,18624	26860,46352
F0006	00001	Realizado	set	8494,2	357809,2561	263870,6242	93938,63193
F0008	00001	Realizado	abr	486,2	20480,66449	15103,70576	5376,95873
F0008	00001	Realizado	ago	289,3	12186,45874	8987,04664	3199,412095
F0008	00001	Realizado	dez	13868,8	584208,6378	430831,4982	153377,1395
F0008	00001	Realizado	fev	794,2	33454,84109	24671,66416	8783,17693
F0008	00001	Realizado	jan	6107,2	257259,3874	189718,9466	67540,44088
F0008	00001	Realizado	jul	1588,4	66909,68218	49343,32832	17566,35386
F0008	00001	Realizado	jun	827,2	34844,93144	25696,80256	9148,12888
F0008	00001	Realizado	mai	3466,1	146005,8231	107673,7033	38332,11982
F0008	00001	Realizado	mar	778,8	32806,13226	24193,26624	8612,86602
F0008	00001	Realizado	nov	650,1	27384,7799	20195,22648	7189,553415
F0008	00001	Realizado	out	17080,8	719510,7652	530611,6358	188899,1293
F0008	00001	Realizado	set	721,6	30396,64232	22416,35968	7980,28264
F0009	00001	Realizado	abr	1805,1	76037,94215	56075,07048	19962,87167
F0009	00001	Realizado	ago	795,3	33501,17744	24705,83544	8795,341995
F0009	00001	Realizado	dez	2094,4	88224,40088	65062,11712	23162,28376
F0009	00001	Realizado	fev	15516,6	653620,4826	482020,0757	171600,4069
F0009	00001	Realizado	jan	1661	69967,88095	51598,6328	18369,24815
F0009	00001	Realizado	jul	5967,5	251374,6716	185379,194	65995,47763
F0009	00001	Realizado	jun	8952,9	377131,512	278120,0479	99011,46404
F0009	00001	Realizado	mai	9747,1	410586,353	302791,7121	107794,641
F0009	00001	Realizado	mar	4693,7	197717,1841	145808,8518	51908,33236
F0009	00001	Realizado	nov	5967,5	251374,6716	185379,194	65995,47763
F0009	00001	Realizado	out	1371,7	57781,42222	42611,58616	15169,83606
F0009	00001	Realizado	set	2785,2	117323,6255	86521,68096	30801,94458
F0010	00001	Realizado	abr	8483,2	357345,8926	263528,9114	93816,98128
F0010	00001	Realizado	ago	20299,4	855090,9106	630596,8011	224494,1095
F0010	00001	Realizado	dez	2423,3	102078,968	75279,32984	26799,6382
F0010	00001	Realizado	fev	18670,3	786466,7837	579989,1354	206477,6482
F0010	00001	Realizado	jan	10318	434634,9161	320526,6064	114108,3097
F0010	00001	Realizado	jul	3132,8	131965,9106	97319,80544	34646,10512
F0010	00001	Realizado	jun	933,9	39339,55691	29011,41672	10328,14019
F0010	00001	Realizado	mai	9271,9	390569,052	288029,7191	102539,3329
F0010	00001	Realizado	mar	173,8	7321,14251	5399,06224	1922,08027
F0010	00001	Realizado	nov	7016,9	295579,5448	217978,5951	77600,94964
F0010	00001	Realizado	out	484	20387,9918	15035,3632	5352,6286
F0010	00001	Realizado	set	13657,6	575312,0595	424270,6125	151041,447
F0002	00002	Realizado	abr	656,7	19983,64368	14437,94352	5545,70016
F0002	00002	Realizado	ago	2310	70294,224	50786,736	19507,488
F0002	00002	Realizado	dez	2336,4	71097,58656	51367,15584	19730,43072
F0002	00002	Realizado	fev	1732,5	52720,668	38090,052	14630,616
F0002	00002	Realizado	jan	19198,3	584211,9483	422086,1445	162125,8038
F0002	00002	Realizado	jul	7293	221928,9072	160340,9808	61587,9264
F0002	00002	Realizado	jun	1435,5	43682,8392	31560,3288	12122,5104
F0002	00002	Realizado	mai	1877,7	57139,16208	41282,36112	15856,80096
F0002	00002	Realizado	mar	291,5	8870,4616	6408,8024	2461,6592
F0002	00002	Realizado	nov	6282,1	191166,8158	138115,7378	53051,07808
F0002	00002	Realizado	out	31826,3	968487,0395	699720,3013	268766,7382
F0002	00002	Realizado	set	2094,4	63733,42976	46046,64064	17686,78912
F0003	00002	Realizado	abr	2816	85692,0064	61911,4496	23780,5568
F0003	00002	Realizado	ago	3779,6	115014,7398	83096,77376	31917,96608
F0003	00002	Realizado	dez	1083,5	32971,3384	23821,3976	9149,9408
F0003	00002	Realizado	fev	1790,8	54494,76032	39371,81248	15122,94784
F0003	00002	Realizado	jan	8881,4	270264,5546	195262,9078	75001,64672
F0003	00002	Realizado	jul	3182,3	96838,66192	69964,77488	26873,88704
F0003	00002	Realizado	jun	5342,7	162580,4981	117462,4651	45118,03296
F0003	00002	Realizado	mai	20290,6	617451,0742	446101,0154	171350,0589
F0003	00002	Realizado	mar	3610,2	109859,8301	79372,41312	30487,41696
F0003	00002	Realizado	nov	22478,5	684029,7464	494203,3096	189826,4368
F0003	00002	Realizado	out	16173,3	492159,9883	355579,7045	136580,2838
F0003	00002	Realizado	set	14322	435824,1888	314877,7632	120946,4256
F0004	00002	Realizado	abr	3290,1	100119,059	72334,82256	27784,23648
F0004	00002	Realizado	ago	1252,9	38126,24816	27545,75824	10580,48992
F0004	00002	Realizado	dez	1593,9	48503,01456	35042,84784	13460,16672
F0004	00002	Realizado	fev	20799,9	632949,277	457298,2814	175650,9955
F0004	00002	Realizado	jan	12637,9	384576,3522	277851,8142	106724,5379
F0004	00002	Realizado	jul	1378,3	41942,22032	30302,75248	11639,46784
F0004	00002	Realizado	jun	4812,5	146446,3	105805,7	40640,6
F0004	00002	Realizado	mai	8771,4	266917,2106	192844,4918	74072,71872
F0004	00002	Realizado	mar	2113,1	64302,47824	46457,77136	17844,70688
F0004	00002	Realizado	nov	16539,6	503306,6438	363633,0298	139673,6141
F0004	00002	Realizado	out	3185,6	96939,08224	70037,32736	26901,75488
F0004	00002	Realizado	set	4385,7	133458,6053	96422,24592	37036,35936
F0005	00002	Realizado	abr	1089	33138,7056	23942,3184	9196,3872
F0005	00002	Realizado	ago	3445,2	104838,8141	75744,78912	29094,02496
F0005	00002	Realizado	dez	1987,7	60486,50608	43700,77712	16785,72896
F0005	00002	Realizado	fev	1208,9	36787,31056	26578,39184	10208,91872
F0005	00002	Realizado	jan	737	22427,2048	16203,3872	6223,8176
F0005	00002	Realizado	jul	4533,1	137944,0462	99662,92336	38281,12288
F0005	00002	Realizado	jun	752,4	22895,83296	16541,96544	6353,86752
F0005	00002	Realizado	mai	5017,1	152672,3598	110303,9538	42368,40608
F0005	00002	Realizado	mar	1554,3	47297,97072	34172,21808	13125,75264
F0005	00002	Realizado	nov	1632,4	49674,58496	35889,29344	13785,29152
F0005	00002	Realizado	out	2436,5	74143,6696	53567,9144	20575,7552
F0005	00002	Realizado	set	18073	549968,6192	397345,7488	152622,8704
F0006	00002	Realizado	abr	1705	51883,832	37485,448	14398,384
F0006	00002	Realizado	ago	19761,5	601350,3496	434468,4344	166881,9152
F0006	00002	Realizado	dez	5424,1	165057,5326	119252,093	45805,43968
F0006	00002	Realizado	jul	39523	1202700,699	868936,8688	333763,8304
F0006	00002	Realizado	jun	1860,1	56603,58704	40895,41456	15708,17248
F0006	00002	Realizado	mai	21148,6	643560,3574	464964,6602	178595,6973
F0006	00002	Realizado	mar	2015,2	61323,34208	44305,38112	17017,96096
F0006	00002	Realizado	nov	68299	2078365,89	1501594,494	576771,3952
F0006	00002	Realizado	out	2789,6	84888,64384	61331,02976	23557,61408
F0006	00002	Realizado	set	7453,6	226816,0294	163871,8682	62944,16128
F0008	00002	Realizado	abr	656,7	19983,64368	14437,94352	5545,70016
F0008	00002	Realizado	ago	2310	70294,224	50786,736	19507,488
F0008	00002	Realizado	dez	2336,4	71097,58656	51367,15584	19730,43072
F0008	00002	Realizado	fev	1732,5	52720,668	38090,052	14630,616
F0008	00002	Realizado	jan	19198,3	584211,9483	422086,1445	162125,8038
F0008	00002	Realizado	jul	7293	221928,9072	160340,9808	61587,9264
F0008	00002	Realizado	jun	1435,5	43682,8392	31560,3288	12122,5104
F0008	00002	Realizado	jun	656,7	19983,64368	14437,94352	5545,70016
F0008	00002	Realizado	jun	1119,8	34075,96192	24619,47488	9456,48704
F0008	00002	Realizado	jun	705,1	21456,47504	15502,04656	5954,42848
F0008	00002	Realizado	jun	413,6	12586,01344	9093,24416	3492,76928
F0008	00002	Realizado	jun	462	14058,8448	10157,3472	3901,4976
F0008	00002	Realizado	jun	584,1	17774,39664	12841,78896	4932,60768
F0008	00002	Realizado	jun	413,6	12586,01344	9093,24416	3492,76928
F0008	00002	Realizado	jun	2141,7	65172,78768	47086,55952	18086,22816
F0008	00002	Realizado	jun	4623,3	140688,8683	101646,0245	39042,84384
F0008	00002	Realizado	jun	6618,7	201409,6885	145516,0907	55893,59776
F0008	00002	Realizado	jun	341	10376,7664	7497,0896	2879,6768
F0008	00002	Realizado	jun	730,4	22226,36416	16058,28224	6168,08192
F0008	00002	Realizado	jun	9051,9	275452,9378	199011,4526	76441,48512
F0008	00002	Realizado	jun	10997,8	334667,4531	241793,2317	92874,22144
F0008	00002	Realizado	jun	341	10376,7664	7497,0896	2879,6768
F0008	00002	Realizado	jun	559,9	17037,98096	12309,73744	4728,24352
F0008	00002	Realizado	jun	413,6	12586,01344	9093,24416	3492,76928
F0008	00002	Realizado	jun	1046,1	31833,24144	22999,13616	8834,10528
F0008	00002	Realizado	jun	389,4	11849,59776	8561,19264	3288,40512
F0008	00002	Realizado	jun	1776,5	54059,6056	39057,4184	15002,1872
F0008	00002	Realizado	jun	1508,1	45892,08624	33156,48336	12735,60288
F0008	00002	Realizado	jun	4260,3	129642,6331	93665,25168	35977,38144
F0008	00002	Realizado	jun	1949,2	59314,93568	42854,33152	16460,60416
F0008	00002	Realizado	jun	3320,9	101056,3154	73011,97904	28044,33632
F0008	00002	Realizado	jun	2094,4	63733,42976	46046,64064	17686,78912
F0008	00002	Realizado	jun	1227,6	37356,35904	26989,52256	10366,83648
F0008	00002	Realizado	jun	1371,7	41741,37968	30157,64752	11583,73216
F0008	00002	Realizado	jun	1732,5	52720,668	38090,052	14630,616
F0008	00002	Realizado	jun	1227,6	37356,35904	26989,52256	10366,83648
F0008	00002	Realizado	jun	6353,6	193342,5894	139687,7082	53654,88128
F0008	00002	Realizado	jun	13719,2	417480,7437	301624,8435	115855,9002
F0008	00002	Realizado	jun	19639,4	597634,7978	431783,9926	165850,8051
F0008	00002	Realizado	jun	1010,9	30762,09136	22225,24304	8536,84832
F0008	00002	Realizado	jun	2165,9	65909,20336	47618,61104	18290,59232
F0008	00002	Realizado	jun	26859,8	817354,4579	590528,8189	226825,639
F0008	00002	Realizado	jun	32635,9	993123,4914	717519,843	275603,6483
F0008	00002	Realizado	jun	1010,9	30762,09136	22225,24304	8536,84832
F0008	00002	Realizado	jun	1661	50544,8944	36518,0816	14026,8128
F0008	00002	Realizado	jun	1227,6	37356,35904	26989,52256	10366,83648
F0008	00002	Realizado	jun	3105,3	94495,52112	68271,88368	26223,63744
F0008	00002	Realizado	jun	1155	35147,112	25393,368	9753,744
F0008	00002	Realizado	jun	5271,2	160404,7245	115890,4947	44514,22976
F0008	00002	Realizado	jun	4477	136236,9008	98429,5312	37807,3696
F0008	00002	Realizado	mai	705,1	21456,47504	15502,04656	5954,42848
F0008	00002	Realizado	mai	316,8	9640,35072	6965,03808	2675,31264
F0008	00002	Realizado	mai	705,1	21456,47504	15502,04656	5954,42848
F0008	00002	Realizado	mai	730,4	22226,36416	16058,28224	6168,08192
F0008	00002	Realizado	mai	486,2	14795,26048	10689,39872	4105,86176
F0008	00002	Realizado	mai	9002,4	273946,633	197923,1654	76023,46752
F0008	00002	Realizado	mai	1873,3	57005,26832	41185,62448	15819,64384
F0008	00002	Realizado	mai	1046,1	31833,24144	22999,13616	8834,10528
F0008	00002	Realizado	mai	559,9	17037,98096	12309,73744	4728,24352
F0008	00002	Realizado	mai	584,1	17774,39664	12841,78896	4932,60768
F0008	00002	Realizado	mai	3089,9	94026,89296	67933,30544	26093,58752
F0008	00002	Realizado	mai	559,9	17037,98096	12309,73744	4728,24352
F0008	00002	Realizado	mai	827,2	25172,02688	18186,48832	6985,53856
F0008	00002	Realizado	mai	341	10376,7664	7497,0896	2879,6768
F0008	00002	Realizado	mai	1728,1	52586,77424	37993,31536	14593,45888
F0008	00002	Realizado	mai	1654,4	50344,05376	36372,97664	13971,07712
F0008	00002	Realizado	mai	632,5	19247,228	13905,892	5341,336
F0008	00002	Realizado	mai	2094,4	63733,42976	46046,64064	17686,78912
F0008	00002	Realizado	mai	938,3	28552,84432	20629,08848	7923,75584
F0008	00002	Realizado	mai	2094,4	63733,42976	46046,64064	17686,78912
F0008	00002	Realizado	mai	2165,9	65909,20336	47618,61104	18290,59232
F0008	00002	Realizado	mai	1444,3	43950,62672	31753,80208	12196,82464
F0008	00002	Realizado	mai	26715,7	812969,4373	587360,6939	225608,7434
F0008	00002	Realizado	mai	5559,4	169174,7658	122226,7446	46948,02112
F0008	00002	Realizado	mai	3105,3	94495,52112	68271,88368	26223,63744
F0008	00002	Realizado	mai	1661	50544,8944	36518,0816	14026,8128
F0008	00002	Realizado	mai	1732,5	52720,668	38090,052	14630,616
F0008	00002	Realizado	mai	9169,6	279034,5958	201599,1578	77435,43808
F0008	00002	Realizado	mai	1661	50544,8944	36518,0816	14026,8128
F0008	00002	Realizado	mai	2455,2	74712,71808	53979,04512	20733,67296
F0008	00002	Realizado	mai	1010,9	30762,09136	22225,24304	8536,84832
F0008	00002	Realizado	mai	5126	155986,2304	112698,1856	43288,0448
F0008	00002	Realizado	mai	4910,4	149425,4362	107958,0902	41467,34592
F0008	00002	Realizado	mai	1877,7	57139,16208	41282,36112	15856,80096
F0008	00002	Realizado	mar	291,5	8870,4616	6408,8024	2461,6592
F0008	00002	Realizado	mar	267,3	8134,04592	5876,75088	2257,29504
F0008	00002	Realizado	mar	437,8	13322,42912	9625,29568	3697,13344
F0008	00002	Realizado	mar	20220,2	615308,7741	444553,2291	170755,545
F0008	00002	Realizado	mar	1119,8	34075,96192	24619,47488	9456,48704
F0008	00002	Realizado	mar	437,8	13322,42912	9625,29568	3697,13344
F0008	00002	Realizado	mar	1678,6	51080,46944	36905,02816	14175,44128
F0008	00002	Realizado	mar	1459,7	44419,25488	32092,38032	12326,87456
F0008	00002	Realizado	mar	1459,7	44419,25488	32092,38032	12326,87456
F0008	00002	Realizado	mar	608,3	18510,81232	13373,84048	5136,97184
F0008	00002	Realizado	mar	2262,7	68854,86608	49746,81712	19108,04896
F0008	00002	Realizado	mar	2092,2	63666,48288	45998,27232	17668,21056
F0008	00002	Realizado	mar	6058,8	184371,7075	133206,3533	51165,35424
F0008	00002	Realizado	mar	16765,1	510168,699	368590,7826	141577,9165
F0008	00002	Realizado	mar	341	10376,7664	7497,0896	2879,6768
F0008	00002	Realizado	mar	632,5	19247,228	13905,892	5341,336
F0008	00002	Realizado	mar	5133,7	156220,5445	112867,4747	43353,06976
F0008	00002	Realizado	mar	680,9	20720,05936	14969,99504	5750,06432
F0008	00002	Realizado	mar	1654,4	50344,05376	36372,97664	13971,07712
F0008	00002	Realizado	mar	1483,9	45155,67056	32624,43184	12531,23872
F0008	00002	Realizado	mar	1630,2	49607,63808	35840,92512	13766,71296
F0008	00002	Realizado	mar	1435,5	43682,8392	31560,3288	12122,5104
F0008	00002	Realizado	mar	1192,4	36285,20896	26215,62944	10069,57952
F0008	00002	Realizado	mar	866,8	26377,07072	19057,11808	7319,95264
F0008	00002	Realizado	mar	794,2	24167,82368	17460,96352	6706,86016
F0008	00002	Realizado	mar	1300,2	39565,60608	28585,67712	10979,92896
F0008	00002	Realizado	mar	60001,7	1825875,732	1319173,376	506702,3562
F0008	00002	Realizado	mar	3320,9	101056,3154	73011,97904	28044,33632
F0008	00002	Realizado	mar	1300,2	39565,60608	28585,67712	10979,92896
F0008	00002	Realizado	mar	4981,9	151601,2098	109530,0606	42071,14912
F0008	00002	Realizado	mar	4331,8	131818,4067	95237,22208	36581,18464
F0008	00002	Realizado	mar	4331,8	131818,4067	95237,22208	36581,18464
F0008	00002	Realizado	mar	1805,1	54929,91504	39686,20656	15243,70848
F0008	00002	Realizado	mar	6715,5	204355,3512	147644,2968	56711,0544
F0008	00002	Realizado	mar	6209,5	188957,5688	136519,5832	52437,9856
F0008	00002	Realizado	mar	17978,4	547089,9034	395265,911	151823,9923
F0008	00002	Realizado	mar	49748,6	1513869,797	1093752,82	420116,9773
F0008	00002	Realizado	mar	1010,9	30762,09136	22225,24304	8536,84832
F0008	00002	Realizado	mar	1877,7	57139,16208	41282,36112	15856,80096
F0008	00002	Realizado	mar	15235	463607,144	334950,616	128656,528
F0008	00002	Realizado	mar	2021,8	61524,18272	44450,48608	17073,69664
F0008	00002	Realizado	mar	4910,4	149425,4362	107958,0902	41467,34592
F0008	00002	Realizado	mar	4404,4	134027,6538	96833,37664	37194,27712
F0008	00002	Realizado	mar	4837,8	147216,1891	106361,9357	40854,25344
F0008	00002	Realizado	mar	4260,3	129642,6331	93665,25168	35977,38144
F0008	00002	Realizado	mar	3537,6	107650,583	77776,25856	29874,32448
F0008	00002	Realizado	nov	803	24435,6112	17654,4368	6781,1744
F0008	00002	Realizado	nov	584,1	17774,39664	12841,78896	4932,60768
F0008	00002	Realizado	nov	316,8	9640,35072	6965,03808	2675,31264
F0008	00002	Realizado	nov	1849,1	56268,85264	40653,57296	15615,27968
F0008	00002	Realizado	nov	4477	136236,9008	98429,5312	37807,3696
F0008	00002	Realizado	nov	267,3	8134,04592	5876,75088	2257,29504
F0008	00002	Realizado	nov	2750	83683,6	60460,4	23223,2
F0008	00002	Realizado	nov	2409	73306,8336	52963,3104	20343,5232
F0008	00002	Realizado	nov	875,6	26644,85824	19250,59136	7394,26688
F0008	00002	Realizado	nov	1094,5	33306,0728	24063,2392	9242,8336
F0008	00002	Realizado	nov	2311,1	70327,69744	50810,92016	19516,77728
F0008	00002	Realizado	nov	9562,3	290984,6139	210232,9029	80751,71104
F0008	00002	Realizado	nov	730,4	22226,36416	16058,28224	6168,08192
F0008	00002	Realizado	nov	14721,3	447975,0475	323656,6133	124318,4342
F0008	00002	Realizado	nov	608,3	18510,81232	13373,84048	5136,97184
F0008	00002	Realizado	nov	559,9	17037,98096	12309,73744	4728,24352
F0008	00002	Realizado	nov	1606	48871,2224	35308,8736	13562,3488
F0008	00002	Realizado	nov	778,8	23699,19552	17122,38528	6576,81024
F0008	00002	Realizado	nov	608,3	18510,81232	13373,84048	5136,97184
F0008	00002	Realizado	nov	1459,7	44419,25488	32092,38032	12326,87456
F0008	00002	Realizado	nov	827,2	25172,02688	18186,48832	6985,53856
F0008	00002	Realizado	nov	2116,4	64402,89856	46530,32384	17872,57472
F0008	00002	Realizado	nov	2382,6	72503,47104	52382,89056	20120,58048
F0008	00002	Realizado	nov	1732,5	52720,668	38090,052	14630,616
F0008	00002	Realizado	nov	938,3	28552,84432	20629,08848	7923,75584
F0008	00002	Realizado	nov	5487,9	166998,9922	120654,7742	46344,21792
F0008	00002	Realizado	nov	13285,8	404292,2083	292096,2845	112195,9238
F0008	00002	Realizado	nov	794,2	24167,82368	17460,96352	6706,86016
F0008	00002	Realizado	nov	8158,7	248272,5045	179373,9147	68898,58976
F0008	00002	Realizado	nov	7147,8	217510,4131	157148,6717	60361,74144
F0008	00002	Realizado	nov	2599,3	79097,73872	57147,17008	21950,56864
F0008	00002	Realizado	nov	3249,4	98880,54176	71440,00864	27440,53312
F0008	00002	Realizado	nov	6859,6	208740,3718	150812,4218	57927,95008
F0008	00002	Realizado	nov	28376,7	863514,3317	623878,7755	239635,5562
F0008	00002	Realizado	nov	2165,9	65909,20336	47618,61104	18290,59232
F0008	00002	Realizado	nov	43683,2	1329297,249	960401,3619	368895,8874
F0008	00002	Realizado	nov	1805,1	54929,91504	39686,20656	15243,70848
F0008	00002	Realizado	nov	1661	50544,8944	36518,0816	14026,8128
F0008	00002	Realizado	nov	4765,2	145006,9421	104765,7811	40241,16096
F0008	00002	Realizado	nov	2310	70294,224	50786,736	19507,488
F0008	00002	Realizado	nov	1805,1	54929,91504	39686,20656	15243,70848
F0008	00002	Realizado	nov	4331,8	131818,4067	95237,22208	36581,18464
F0008	00002	Realizado	nov	2455,2	74712,71808	53979,04512	20733,67296
F0008	00002	Realizado	nov	6282,1	191166,8158	138115,7378	53051,07808
F0008	00002	Realizado	out	31826,3	968487,0395	699720,3013	268766,7382
F0008	00002	Realizado	out	632,5	19247,228	13905,892	5341,336
F0008	00002	Realizado	out	1459,7	44419,25488	32092,38032	12326,87456
F0008	00002	Realizado	out	291,5	8870,4616	6408,8024	2461,6592
F0008	00002	Realizado	out	1021,9	31096,82576	22467,08464	8629,74112
F0008	00002	Realizado	out	2676,3	81440,87952	58840,06128	22600,81824
F0008	00002	Realizado	out	365,2	11113,18208	8029,14112	3084,04096
F0008	00002	Realizado	out	3796,1	115516,8414	83459,53616	32057,30528
F0008	00002	Realizado	out	730,4	22226,36416	16058,28224	6168,08192
F0008	00002	Realizado	out	851,4	25908,44256	18718,53984	7189,90272
F0008	00002	Realizado	out	1873,3	57005,26832	41185,62448	15819,64384
F0008	00002	Realizado	out	1313,4	39967,28736	28875,88704	11091,40032
F0008	00002	Realizado	out	1728,1	52586,77424	37993,31536	14593,45888
F0008	00002	Realizado	out	1289,2	39230,87168	28343,83552	10887,03616
F0008	00002	Realizado	out	1362,9	41473,59216	29964,17424	11509,41792
F0008	00002	Realizado	out	851,4	25908,44256	18718,53984	7189,90272
F0008	00002	Realizado	out	1240,8	37758,04032	27279,73248	10478,30784
F0008	00002	Realizado	out	1144	34812,3776	25151,5264	9660,8512
F0008	00002	Realizado	out	3163,6	96269,61344	69553,64416	26715,96928
F0008	00002	Realizado	out	608,3	18510,81232	13373,84048	5136,97184
F0008	00002	Realizado	out	656,7	19983,64368	14437,94352	5545,70016
F0008	00002	Realizado	out	5815,7	176974,0773	127861,6539	49112,42336
F0008	00002	Realizado	out	1240,8	37758,04032	27279,73248	10478,30784
F0008	00002	Realizado	out	2092,2	63666,48288	45998,27232	17668,21056
F0008	00002	Realizado	out	7056,5	214732,1176	155141,3864	59590,7312
F0008	00002	Realizado	out	7104,9	216204,949	156205,4894	59999,45952
F0008	00002	Realizado	out	7616,4	231770,0986	167451,1238	64318,97472
F0008	00002	Realizado	out	389,4	11849,59776	8561,19264	3288,40512
F0008	00002	Realizado	out	730,4	22226,36416	16058,28224	6168,08192
F0008	00002	Realizado	out	1216,6	37021,62464	26747,68096	10273,94368
F0008	00002	Realizado	out	730,4	22226,36416	16058,28224	6168,08192
F0008	00002	Realizado	out	2141,7	65172,78768	47086,55952	18086,22816
F0008	00002	Realizado	out	1338,7	40737,17648	29432,12272	11305,05376
F0008	00002	Realizado	out	803	24435,6112	17654,4368	6781,1744
F0008	00002	Realizado	out	2944,7	89608,39888	64740,99632	24867,40256
F0008	00002	Realizado	out	656,7	19983,64368	14437,94352	5545,70016
F0008	00002	Realizado	out	1971,2	59984,40448	43338,01472	16646,38976
F0008	00002	Realizado	out	559,9	17037,98096	12309,73744	4728,24352
F0008	00002	Realizado	out	1119,8	34075,96192	24619,47488	9456,48704
F0008	00002	Realizado	out	1630,2	49607,63808	35840,92512	13766,71296
F0008	00002	Realizado	out	5791,5	176237,6616	127329,6024	48908,0592
F0008	00002	Realizado	out	3089,9	94026,89296	67933,30544	26093,58752
F0008	00002	Realizado	out	1313,4	39967,28736	28875,88704	11091,40032
F0008	00002	Realizado	out	94442,7	2873929,138	2076379,425	797549,713
F0008	00002	Realizado	out	1877,7	57139,16208	41282,36112	15856,80096
F0008	00002	Realizado	out	4331,8	131818,4067	95237,22208	36581,18464
F0008	00002	Realizado	out	866,8	26377,07072	19057,11808	7319,95264
F0008	00002	Realizado	out	3032,7	92286,27408	66675,72912	25610,54496
F0008	00002	Realizado	out	7942	241678,2368	174609,6352	67068,6016
