Versao	Meses	Centro_Custo	Conta	Medida	Valor
Orçado	Jan	50.112.028	40.102	Valor	5000,00
Orçado	Fev	10.101.001	30.101	Valor	3090,91
Orçado	Fev	10.101.002	30.110	Valor	500
Orçado	Fev	10.101.002	30.111	Valor	5168,54
Orçado	Fev	10.101.002	30.112	Valor	5337,08
Orçado	Fev	10.101.002	30.113	Valor	5505,62
Orçado	Fev	10.101.002	30.114	Valor	5674,16
Orçado	Fev	10.101.002	30.115	Valor	5842,70
Orçado	Fev	10.101.002	30.116	Valor	6011,24
Orçado	Fev	10.101.002	30.117	Valor	6179,78
Orçado	Fev	10.101.002	30.119	Valor	6348,31
Orçado	Fev	10.101.002	30.120	Valor	6516,85
Orçado	Fev	10.101.002	30.121	Valor	6685,39
Orçado	Fev	10.101.002	30.122	Valor	6853,93
Orçado	Fev	10.101.002	30.123	Valor	7022,47
Orçado	Fev	10.101.002	40.101	Valor	7191,01
Orçado	Fev	10.101.002	40.102	Valor	7359,55
Orçado	Fev	10.102.003	30.110	Valor	7528,09
Orçado	Fev	10.102.003	30.111	Valor	7696,63
Orçado	Fev	10.102.003	30.112	Valor	7865,17
Orçado	Fev	10.102.003	30.113	Valor	8033,71
Orçado	Fev	10.102.003	30.114	Valor	8202,25
Orçado	Fev	10.102.003	30.115	Valor	8370,79
Orçado	Fev	10.102.003	30.116	Valor	8539,33
Orçado	Fev	10.102.003	30.117	Valor	8707,87
Orçado	Fev	10.102.003	30.119	Valor	8876,40
Orçado	Fev	10.102.003	30.120	Valor	9044,94
Orçado	Fev	10.102.003	30.121	Valor	9213,48
Orçado	Fev	10.102.003	30.122	Valor	9382,02
Orçado	Fev	10.102.003	30.123	Valor	9550,56
Orçado	Fev	10.102.003	40.101	Valor	9719,10
Orçado	Fev	10.102.003	40.102	Valor	9887,64
Orçado	Fev	20.104.012	30.110	Valor	1005,62
Orçado	Fev	20.104.012	30.111	Valor	1022,47
Orçado	Fev	20.104.012	30.112	Valor	1039,33
Orçado	Fev	20.104.012	30.113	Valor	1056,18
Orçado	Fev	20.104.012	30.114	Valor	1073,03
Orçado	Fev	20.104.012	30.115	Valor	1089,89
Orçado	Fev	20.104.012	30.116	Valor	1106,74
Orçado	Fev	20.104.012	30.117	Valor	1123,60
Orçado	Fev	20.104.012	30.119	Valor	1140,45
Orçado	Fev	20.104.012	30.120	Valor	1157,30
Orçado	Fev	20.104.012	30.121	Valor	1174,16
Orçado	Fev	20.104.012	30.122	Valor	1191,01
Orçado	Fev	20.104.012	30.123	Valor	1207,87
Orçado	Fev	20.104.012	40.101	Valor	1224,72
Orçado	Fev	20.104.012	40.102	Valor	1241,57
Orçado	Fev	30.106.017	30.110	Valor	1258,43
Orçado	Fev	30.106.017	30.111	Valor	1275,28
Orçado	Fev	30.106.017	30.112	Valor	1292,13
Orçado	Fev	30.106.017	30.113	Valor	1308,99
Orçado	Fev	30.106.017	30.114	Valor	1325,84
Orçado	Fev	30.106.017	30.115	Valor	1342,70
Orçado	Fev	30.106.017	30.116	Valor	1359,55
Orçado	Fev	30.106.017	30.117	Valor	1376,40
Orçado	Fev	30.106.017	30.119	Valor	1393,26
Orçado	Fev	30.106.017	30.120	Valor	1410,11
Orçado	Fev	30.106.017	30.121	Valor	1426,97
Orçado	Fev	30.106.017	30.122	Valor	1443,82
Orçado	Fev	30.106.017	30.123	Valor	1460,67
Orçado	Fev	30.106.017	40.101	Valor	1477,53
Orçado	Fev	30.106.017	40.102	Valor	1494,38
Orçado	Fev	40.110.024	30.110	Valor	1511,24
Orçado	Fev	40.110.024	30.111	Valor	1528,09
Orçado	Fev	40.110.024	30.112	Valor	1544,94
Orçado	Fev	40.110.024	30.113	Valor	1561,80
Orçado	Fev	40.110.024	30.114	Valor	1578,65
Orçado	Fev	40.110.024	30.115	Valor	1595,51
Orçado	Fev	40.110.024	30.116	Valor	1612,36
Orçado	Fev	40.110.024	30.117	Valor	1629,21
Orçado	Fev	40.110.024	30.119	Valor	1646,07
Orçado	Fev	40.110.024	30.120	Valor	1662,92
Orçado	Fev	40.110.024	30.121	Valor	1679,78
Orçado	Fev	40.110.024	30.122	Valor	1696,63
Orçado	Fev	40.110.024	30.123	Valor	1713,48
Orçado	Fev	40.110.024	40.101	Valor	1730,34
Orçado	Fev	40.110.024	40.102	Valor	1747,19
Orçado	Fev	50.112.028	30.110	Valor	1764,04
Orçado	Fev	50.112.028	30.111	Valor	1780,90
Orçado	Fev	50.112.028	30.112	Valor	1797,75
Orçado	Fev	50.112.028	30.113	Valor	1814,61
Orçado	Fev	50.112.028	30.114	Valor	1831,46
Orçado	Fev	50.112.028	30.115	Valor	1848,31
Orçado	Fev	50.112.028	30.116	Valor	1865,17
Orçado	Fev	50.112.028	30.117	Valor	1882,02
Orçado	Fev	50.112.028	30.119	Valor	1898,88
Orçado	Fev	50.112.028	30.120	Valor	1915,73
Orçado	Fev	50.112.028	30.121	Valor	1932,58
Orçado	Fev	50.112.028	30.122	Valor	1949,44
Orçado	Fev	50.112.028	30.123	Valor	1966,29
Orçado	Fev	50.112.028	40.101	Valor	1983,15
Orçado	Fev	50.112.028	40.102	Valor	2000,00
Orçado	Mar	10.101.001	30.101	Valor	3181,82
Orçado	Mar	10.101.002	30.110	Valor	500
Orçado	Mar	10.101.002	30.111	Valor	5168,54
Orçado	Mar	10.101.002	30.112	Valor	5337,08
Orçado	Mar	10.101.002	30.113	Valor	5505,62
Orçado	Mar	10.101.002	30.114	Valor	5674,16
Orçado	Mar	10.101.002	30.115	Valor	5842,70
Orçado	Mar	10.101.002	30.116	Valor	6011,24
Orçado	Mar	10.101.002	30.117	Valor	6179,78
Orçado	Mar	10.101.002	30.119	Valor	6348,31
Orçado	Mar	10.101.002	30.120	Valor	6516,85
Orçado	Mar	10.101.002	30.121	Valor	6685,39
Orçado	Mar	10.101.002	30.122	Valor	6853,93
Orçado	Mar	10.101.002	30.123	Valor	7022,47
Orçado	Mar	10.101.002	40.101	Valor	7191,01
Orçado	Mar	10.101.002	40.102	Valor	7359,55
Orçado	Mar	10.102.003	30.110	Valor	7528,09
Orçado	Mar	10.102.003	30.111	Valor	7696,63
Orçado	Mar	10.102.003	30.112	Valor	7865,17
Orçado	Mar	10.102.003	30.113	Valor	8033,71
Orçado	Mar	10.102.003	30.114	Valor	8202,25
Orçado	Mar	10.102.003	30.115	Valor	8370,79
Orçado	Mar	10.102.003	30.116	Valor	8539,33
Orçado	Mar	10.102.003	30.117	Valor	8707,87
Orçado	Mar	10.102.003	30.119	Valor	8876,40
Orçado	Mar	10.102.003	30.120	Valor	9044,94
Orçado	Mar	10.102.003	30.121	Valor	9213,48
Orçado	Mar	10.102.003	30.122	Valor	9382,02
Orçado	Mar	10.102.003	30.123	Valor	9550,56
Orçado	Mar	10.102.003	40.101	Valor	9719,10
Orçado	Mar	10.102.003	40.102	Valor	9887,64
Orçado	Mar	20.104.012	30.110	Valor	1005,62
Orçado	Mar	20.104.012	30.111	Valor	1022,47
Orçado	Mar	20.104.012	30.112	Valor	1039,33
Orçado	Mar	20.104.012	30.113	Valor	1056,18
Orçado	Mar	20.104.012	30.114	Valor	1073,03
Orçado	Mar	20.104.012	30.115	Valor	1089,89
Orçado	Mar	20.104.012	30.116	Valor	1106,74
Orçado	Mar	20.104.012	30.117	Valor	1123,60
Orçado	Mar	20.104.012	30.119	Valor	1140,45
Orçado	Mar	20.104.012	30.120	Valor	1157,30
Orçado	Mar	20.104.012	30.121	Valor	1174,16
Orçado	Mar	20.104.012	30.122	Valor	1191,01
Orçado	Mar	20.104.012	30.123	Valor	1207,87
Orçado	Mar	20.104.012	40.101	Valor	1224,72
Orçado	Mar	20.104.012	40.102	Valor	1241,57
Orçado	Mar	30.106.017	30.110	Valor	1258,43
Orçado	Mar	30.106.017	30.111	Valor	1275,28
Orçado	Mar	30.106.017	30.112	Valor	1292,13
Orçado	Mar	30.106.017	30.113	Valor	1308,99
Orçado	Mar	30.106.017	30.114	Valor	1325,84
Orçado	Mar	30.106.017	30.115	Valor	1342,70
Orçado	Mar	30.106.017	30.116	Valor	1359,55
Orçado	Mar	30.106.017	30.117	Valor	1376,40
Orçado	Mar	30.106.017	30.119	Valor	1393,26
Orçado	Mar	30.106.017	30.120	Valor	1410,11
Orçado	Mar	30.106.017	30.121	Valor	1426,97
Orçado	Mar	30.106.017	30.122	Valor	1443,82
Orçado	Mar	30.106.017	30.123	Valor	1460,67
Orçado	Mar	30.106.017	40.101	Valor	1477,53
Orçado	Mar	30.106.017	40.102	Valor	1494,38
Orçado	Mar	40.110.024	30.110	Valor	1511,24
Orçado	Mar	40.110.024	30.111	Valor	1528,09
Orçado	Mar	40.110.024	30.112	Valor	1544,94
Orçado	Mar	40.110.024	30.113	Valor	1561,80
Orçado	Mar	40.110.024	30.114	Valor	1578,65
Orçado	Mar	40.110.024	30.115	Valor	1595,51
Orçado	Mar	40.110.024	30.116	Valor	1612,36
Orçado	Mar	40.110.024	30.117	Valor	1629,21
Orçado	Mar	40.110.024	30.119	Valor	1646,07
Orçado	Mar	40.110.024	30.120	Valor	1662,92
Orçado	Mar	40.110.024	30.121	Valor	1679,78
Orçado	Mar	40.110.024	30.122	Valor	1696,63
Orçado	Mar	40.110.024	30.123	Valor	1713,48
Orçado	Mar	40.110.024	40.101	Valor	1730,34
Orçado	Mar	40.110.024	40.102	Valor	1747,19
Orçado	Mar	50.112.028	30.110	Valor	1764,04
Orçado	Mar	50.112.028	30.111	Valor	1780,90
Orçado	Mar	50.112.028	30.112	Valor	1797,75
Orçado	Mar	50.112.028	30.113	Valor	1814,61
Orçado	Mar	50.112.028	30.114	Valor	1831,46
Orçado	Mar	50.112.028	30.115	Valor	1848,31
Orçado	Mar	50.112.028	30.116	Valor	1865,17
Orçado	Mar	50.112.028	30.117	Valor	1882,02
Orçado	Mar	50.112.028	30.119	Valor	1898,88
Orçado	Mar	50.112.028	30.120	Valor	1915,73
Orçado	Mar	50.112.028	30.121	Valor	1932,58
Orçado	Mar	50.112.028	30.122	Valor	1949,44
Orçado	Mar	50.112.028	30.123	Valor	1966,29
Orçado	Mar	50.112.028	40.101	Valor	1983,15
Orçado	Mar	50.112.028	40.102	Valor	2000,00
Orçado	Abr	10.101.001	30.101	Valor	3272,73
Orçado	Abr	10.101.002	30.110	Valor	1000,00
Orçado	Abr	10.101.002	30.111	Valor	1044,94
Orçado	Abr	10.101.002	30.112	Valor	1089,89
Orçado	Abr	10.101.002	30.113	Valor	1134,83
Orçado	Abr	10.101.002	30.114	Valor	1179,78
Orçado	Abr	10.101.002	30.115	Valor	1224,72
Orçado	Abr	10.101.002	30.116	Valor	1269,66
Orçado	Abr	10.101.002	30.117	Valor	1314,61
Orçado	Abr	10.101.002	30.119	Valor	1359,55
Orçado	Abr	10.101.002	30.120	Valor	1404,49
Orçado	Abr	10.101.002	30.121	Valor	1449,44
Orçado	Abr	10.101.002	30.122	Valor	1494,38
Orçado	Abr	10.101.002	30.123	Valor	1539,33
Orçado	Abr	10.101.002	40.101	Valor	1584,27
Orçado	Abr	10.101.002	40.102	Valor	1629,21
Orçado	Abr	10.102.003	30.110	Valor	1674,16
Orçado	Abr	10.102.003	30.111	Valor	1719,10
Orçado	Abr	10.102.003	30.112	Valor	1764,04
Orçado	Abr	10.102.003	30.113	Valor	1808,99
Orçado	Abr	10.102.003	30.114	Valor	1853,93
Orçado	Abr	10.102.003	30.115	Valor	1898,88
Orçado	Abr	10.102.003	30.116	Valor	1943,82
Orçado	Abr	10.102.003	30.117	Valor	1988,76
Orçado	Abr	10.102.003	30.119	Valor	2033,71
Orçado	Abr	10.102.003	30.120	Valor	2078,65
Orçado	Abr	10.102.003	30.121	Valor	2123,60
Orçado	Abr	10.102.003	30.122	Valor	2168,54
Orçado	Abr	10.102.003	30.123	Valor	2213,48
Orçado	Abr	10.102.003	40.101	Valor	2258,43
Orçado	Abr	10.102.003	40.102	Valor	2303,37
Orçado	Abr	20.104.012	30.110	Valor	2348,31
Orçado	Abr	20.104.012	30.111	Valor	2393,26
Orçado	Abr	20.104.012	30.112	Valor	2438,20
Orçado	Abr	20.104.012	30.113	Valor	2483,15
Orçado	Abr	20.104.012	30.114	Valor	2528,09
Orçado	Abr	20.104.012	30.115	Valor	2573,03
Orçado	Abr	20.104.012	30.116	Valor	2617,98
Orçado	Abr	20.104.012	30.117	Valor	2662,92
Orçado	Abr	20.104.012	30.119	Valor	2707,87
Orçado	Abr	20.104.012	30.120	Valor	2752,81
Orçado	Abr	20.104.012	30.121	Valor	2797,75
Orçado	Abr	20.104.012	30.122	Valor	2842,70
Orçado	Abr	20.104.012	30.123	Valor	2887,64
Orçado	Abr	20.104.012	40.101	Valor	2932,58
Orçado	Abr	20.104.012	40.102	Valor	2977,53
Orçado	Abr	30.106.017	30.110	Valor	3022,47
Orçado	Abr	30.106.017	30.111	Valor	3067,42
Orçado	Abr	30.106.017	30.112	Valor	3112,36
Orçado	Abr	30.106.017	30.113	Valor	3157,30
Orçado	Abr	30.106.017	30.114	Valor	3202,25
Orçado	Abr	30.106.017	30.115	Valor	3247,19
Orçado	Abr	30.106.017	30.116	Valor	3292,13
Orçado	Abr	30.106.017	30.117	Valor	3337,08
Orçado	Abr	30.106.017	30.119	Valor	3382,02
Orçado	Abr	30.106.017	30.120	Valor	3426,97
Orçado	Abr	30.106.017	30.121	Valor	3471,91
Orçado	Abr	30.106.017	30.122	Valor	3516,85
Orçado	Abr	30.106.017	30.123	Valor	3561,80
Orçado	Abr	30.106.017	40.101	Valor	3606,74
Orçado	Abr	30.106.017	40.102	Valor	3651,69
Orçado	Abr	40.110.024	30.110	Valor	3696,63
Orçado	Abr	40.110.024	30.111	Valor	3741,57
Orçado	Abr	40.110.024	30.112	Valor	3786,52
Orçado	Abr	40.110.024	30.113	Valor	3831,46
Orçado	Abr	40.110.024	30.114	Valor	3876,40
Orçado	Abr	40.110.024	30.115	Valor	3921,35
Orçado	Abr	40.110.024	30.116	Valor	3966,29
Orçado	Abr	40.110.024	30.117	Valor	4011,24
Orçado	Abr	40.110.024	30.119	Valor	4056,18
Orçado	Abr	40.110.024	30.120	Valor	4101,12
Orçado	Abr	40.110.024	30.121	Valor	4146,07
Orçado	Abr	40.110.024	30.122	Valor	4191,01
Orçado	Abr	40.110.024	30.123	Valor	4235,96
Orçado	Abr	40.110.024	40.101	Valor	4280,90
Orçado	Abr	40.110.024	40.102	Valor	4325,84
Orçado	Abr	50.112.028	30.110	Valor	4370,79
Orçado	Abr	50.112.028	30.111	Valor	4415,73
Orçado	Abr	50.112.028	30.112	Valor	4460,67
Orçado	Abr	50.112.028	30.113	Valor	4505,62
Orçado	Abr	50.112.028	30.114	Valor	4550,56
Orçado	Abr	50.112.028	30.115	Valor	4595,51
Orçado	Abr	50.112.028	30.116	Valor	4640,45
Orçado	Abr	50.112.028	30.117	Valor	4685,39
Orçado	Abr	50.112.028	30.119	Valor	4730,34
Orçado	Abr	50.112.028	30.120	Valor	4775,28
Orçado	Abr	50.112.028	30.121	Valor	4820,22
Orçado	Abr	50.112.028	30.122	Valor	4865,17
Orçado	Abr	50.112.028	30.123	Valor	4910,11
Orçado	Abr	50.112.028	40.101	Valor	4955,06
Orçado	Abr	50.112.028	40.102	Valor	5000,00
Orçado	Mai	10.101.001	30.101	Valor	3363,64
Orçado	Mai	10.101.002	30.110	Valor	500
Orçado	Mai	10.101.002	30.111	Valor	5168,54
Orçado	Mai	10.101.002	30.112	Valor	533,71
Orçado	Mai	10.101.002	30.113	Valor	5505,62
Orçado	Mai	10.101.002	30.114	Valor	5674,16
Orçado	Mai	10.101.002	30.115	Valor	5842,70
Orçado	Mai	10.101.002	30.116	Valor	6011,24
Orçado	Mai	10.101.002	30.117	Valor	6179,78
Orçado	Mai	10.101.002	30.119	Valor	6348,31
Orçado	Mai	10.101.002	30.120	Valor	6516,85
Orçado	Mai	10.101.002	30.121	Valor	6685,39
Orçado	Mai	10.101.002	30.122	Valor	6853,93
Orçado	Mai	10.101.002	30.123	Valor	7022,47
Orçado	Mai	10.101.002	40.101	Valor	7191,01
Orçado	Mai	10.101.002	40.102	Valor	7359,55
Orçado	Mai	10.102.003	30.110	Valor	7528,09
Orçado	Mai	10.102.003	30.111	Valor	7696,63
Orçado	Mai	10.102.003	30.112	Valor	7865,17
Orçado	Mai	10.102.003	30.113	Valor	8033,71
Orçado	Mai	10.102.003	30.114	Valor	8202,25
Orçado	Mai	10.102.003	30.115	Valor	8370,79
Orçado	Mai	10.102.003	30.116	Valor	8539,33
Orçado	Mai	10.102.003	30.117	Valor	8707,87
Orçado	Mai	10.102.003	30.119	Valor	8876,40
Orçado	Mai	10.102.003	30.120	Valor	9044,94
Orçado	Mai	10.102.003	30.121	Valor	9213,48
Orçado	Mai	10.102.003	30.122	Valor	9382,02
Orçado	Mai	10.102.003	30.123	Valor	9550,56
Orçado	Mai	10.102.003	40.101	Valor	9719,10
Orçado	Mai	10.102.003	40.102	Valor	9887,64
Orçado	Mai	20.104.012	30.110	Valor	1005,62
Orçado	Mai	20.104.012	30.111	Valor	1022,47
Orçado	Mai	20.104.012	30.112	Valor	1039,33
Orçado	Mai	20.104.012	30.113	Valor	1056,18
Orçado	Mai	20.104.012	30.114	Valor	1073,03
Orçado	Mai	20.104.012	30.115	Valor	1089,89
Orçado	Mai	20.104.012	30.116	Valor	1106,74
Orçado	Mai	20.104.012	30.117	Valor	1123,60
Orçado	Mai	20.104.012	30.119	Valor	1140,45
Orçado	Mai	20.104.012	30.120	Valor	1157,30
Orçado	Mai	20.104.012	30.121	Valor	1174,16
Orçado	Mai	20.104.012	30.122	Valor	1191,01
Orçado	Mai	20.104.012	30.123	Valor	1207,87
Orçado	Mai	20.104.012	40.101	Valor	1224,72
Orçado	Mai	20.104.012	40.102	Valor	1241,57
Orçado	Mai	30.106.017	30.110	Valor	1258,43
Orçado	Mai	30.106.017	30.111	Valor	1275,28
Orçado	Mai	30.106.017	30.112	Valor	1292,13
Orçado	Mai	30.106.017	30.113	Valor	1308,99
Orçado	Mai	30.106.017	30.114	Valor	1325,84
Orçado	Mai	30.106.017	30.115	Valor	1342,70
Orçado	Mai	30.106.017	30.116	Valor	1359,55
Orçado	Mai	30.106.017	30.117	Valor	1376,40
Orçado	Mai	30.106.017	30.119	Valor	1393,26
Orçado	Mai	30.106.017	30.120	Valor	1410,11
Orçado	Mai	30.106.017	30.121	Valor	1426,97
Orçado	Mai	30.106.017	30.122	Valor	1443,82
Orçado	Mai	30.106.017	30.123	Valor	1460,67
Orçado	Mai	30.106.017	40.101	Valor	1477,53
Orçado	Mai	30.106.017	40.102	Valor	1494,38
Orçado	Mai	40.110.024	30.110	Valor	1511,24
Orçado	Mai	40.110.024	30.111	Valor	1528,09
Orçado	Mai	40.110.024	30.112	Valor	1544,94
Orçado	Mai	40.110.024	30.113	Valor	1561,80
Orçado	Mai	40.110.024	30.114	Valor	1578,65
Orçado	Mai	40.110.024	30.115	Valor	1595,51
Orçado	Mai	40.110.024	30.116	Valor	1612,36
Orçado	Mai	40.110.024	30.117	Valor	1629,21
Orçado	Mai	40.110.024	30.119	Valor	1646,07
Orçado	Mai	40.110.024	30.120	Valor	1662,92
Orçado	Mai	40.110.024	30.121	Valor	1679,78
Orçado	Mai	40.110.024	30.122	Valor	1696,63
Orçado	Mai	40.110.024	30.123	Valor	1713,48
Orçado	Mai	40.110.024	40.101	Valor	1730,34
Orçado	Mai	40.110.024	40.102	Valor	1747,19
Orçado	Mai	50.112.028	30.110	Valor	1764,04
Orçado	Mai	50.112.028	30.111	Valor	1780,90
Orçado	Mai	50.112.028	30.112	Valor	1797,75
Orçado	Mai	50.112.028	30.113	Valor	1814,61
Orçado	Mai	50.112.028	30.114	Valor	1831,46
Orçado	Mai	50.112.028	30.115	Valor	1848,31
Orçado	Mai	50.112.028	30.116	Valor	1865,17
Orçado	Mai	50.112.028	30.117	Valor	1882,02
Orçado	Mai	50.112.028	30.119	Valor	1898,88
Orçado	Mai	50.112.028	30.120	Valor	1915,73
Orçado	Mai	50.112.028	30.121	Valor	1932,58
Orçado	Mai	50.112.028	30.122	Valor	1949,44
Orçado	Mai	50.112.028	30.123	Valor	1966,29
Orçado	Mai	50.112.028	40.101	Valor	1983,15
Orçado	Mai	50.112.028	40.102	Valor	2000,00
Orçado	Jun	10.101.001	30.101	Valor	3454,55
Orçado	Jun	10.101.002	30.110	Valor	1000,00
Orçado	Jun	10.101.002	30.111	Valor	1044,94
Orçado	Jun	10.101.002	30.112	Valor	1089,89
Orçado	Jun	10.101.002	30.113	Valor	1134,83
Orçado	Jun	10.101.002	30.114	Valor	1179,78
Orçado	Jun	10.101.002	30.115	Valor	1224,72
Orçado	Jun	10.101.002	30.116	Valor	1269,66
Orçado	Jun	10.101.002	30.117	Valor	1314,61
Orçado	Jun	10.101.002	30.119	Valor	1359,55
Orçado	Jun	10.101.002	30.120	Valor	1404,49
Orçado	Jun	10.101.002	30.121	Valor	1449,44
Orçado	Jun	10.101.002	30.122	Valor	1494,38
Orçado	Jun	10.101.002	30.123	Valor	1539,33
Orçado	Jun	10.101.002	40.101	Valor	1584,27
Orçado	Jun	10.101.002	40.102	Valor	1629,21
Orçado	Jun	10.102.003	30.110	Valor	1674,16
Orçado	Jun	10.102.003	30.111	Valor	1719,10
Orçado	Jun	10.102.003	30.112	Valor	1764,04
Orçado	Jun	10.102.003	30.113	Valor	1808,99
Orçado	Jun	10.102.003	30.114	Valor	1853,93
Orçado	Jun	10.102.003	30.115	Valor	1898,88
Orçado	Jun	10.102.003	30.116	Valor	1943,82
Orçado	Jun	10.102.003	30.117	Valor	1988,76
Orçado	Jun	10.102.003	30.119	Valor	2033,71
Orçado	Jun	10.102.003	30.120	Valor	2078,65
Orçado	Jun	10.102.003	30.121	Valor	2123,60
Orçado	Jun	10.102.003	30.122	Valor	2168,54
Orçado	Jun	10.102.003	30.123	Valor	2213,48
Orçado	Jun	10.102.003	40.101	Valor	2258,43
Orçado	Jun	10.102.003	40.102	Valor	2303,37
Orçado	Jun	20.104.012	30.110	Valor	2348,31
Orçado	Jun	20.104.012	30.111	Valor	2393,26
Orçado	Jun	20.104.012	30.112	Valor	2438,20
Orçado	Jun	20.104.012	30.113	Valor	2483,15
Orçado	Jun	20.104.012	30.114	Valor	2528,09
Orçado	Jun	20.104.012	30.115	Valor	2573,03
Orçado	Jun	20.104.012	30.116	Valor	2617,98
Orçado	Jun	20.104.012	30.117	Valor	2662,92
Orçado	Jun	20.104.012	30.119	Valor	2707,87
Orçado	Jun	20.104.012	30.120	Valor	2752,81
Orçado	Jun	20.104.012	30.121	Valor	2797,75
Orçado	Jun	20.104.012	30.122	Valor	2842,70
