Filial	Produto	Versão	Mês	Volume
F0008	00002	Orçado	jun	8229
F0008	00002	Orçado	jun	9998
F0008	00002	Orçado	jun	310
F0008	00002	Orçado	jun	509
F0008	00002	Orçado	jun	376
F0008	00002	Orçado	jun	951
F0008	00002	Orçado	jun	354
F0008	00002	Orçado	jun	1615
F0008	00002	Orçado	jun	1371
F0008	00002	Orçado	jun	3873
F0008	00002	Orçado	jun	1772
F0008	00002	Orçado	jun	3019
F0008	00002	Orçado	jun	1904
F0008	00002	Orçado	jun	1116
F0008	00002	Orçado	jun	1247
F0008	00002	Orçado	jun	1575
F0008	00002	Orçado	jun	1116
F0008	00002	Orçado	jun	5776
F0008	00002	Orçado	jun	12472
F0008	00002	Orçado	jun	17854
F0008	00002	Orçado	jun	919
F0008	00002	Orçado	jun	1969
F0008	00002	Orçado	jun	24418
F0008	00002	Orçado	jun	29669
F0008	00002	Orçado	jun	919
F0008	00002	Orçado	jun	1510
F0008	00002	Orçado	jun	1116
F0008	00002	Orçado	jun	2823
F0008	00002	Orçado	jun	1050
F0008	00002	Orçado	jun	4792
F0008	00002	Orçado	jun	4070
F0008	00002	Orçado	mai	641
F0008	00002	Orçado	mai	288
F0008	00002	Orçado	mai	641
F0008	00002	Orçado	mai	664
F0008	00002	Orçado	mai	442
F0008	00002	Orçado	mai	8184
F0008	00002	Orçado	mai	1703
F0008	00002	Orçado	mai	951
F0008	00002	Orçado	mai	509
F0008	00002	Orçado	mai	531
F0008	00002	Orçado	mai	2809
F0008	00002	Orçado	mai	509
F0008	00002	Orçado	mai	752
F0008	00002	Orçado	mai	310
F0008	00002	Orçado	mai	1571
F0008	00002	Orçado	mai	1504
F0008	00002	Orçado	mai	575
F0008	00002	Orçado	mai	1904
F0008	00002	Orçado	mai	853
F0008	00002	Orçado	mai	1904
F0008	00002	Orçado	mai	1969
F0008	00002	Orçado	mai	1313
F0008	00002	Orçado	mai	24287
F0008	00002	Orçado	mai	5054
F0008	00002	Orçado	mai	2823
F0008	00002	Orçado	mai	1510
F0008	00002	Orçado	mai	1575
F0008	00002	Orçado	mai	8336
F0008	00002	Orçado	mai	1510
F0008	00002	Orçado	mai	2232
F0008	00002	Orçado	mai	919
F0008	00002	Orçado	mai	4660
F0008	00002	Orçado	mai	4464
F0008	00002	Orçado	mai	1707
F0008	00002	Orçado	mar	265
F0008	00002	Orçado	mar	243
F0008	00002	Orçado	mar	398
F0008	00002	Orçado	mar	18382
F0008	00002	Orçado	mar	1018
F0008	00002	Orçado	mar	398
F0008	00002	Orçado	mar	1526
F0008	00002	Orçado	mar	1327
F0008	00002	Orçado	mar	1327
F0008	00002	Orçado	mar	553
F0008	00002	Orçado	mar	2057
F0008	00002	Orçado	mar	1902
F0008	00002	Orçado	mar	5508
F0008	00002	Orçado	mar	15241
F0008	00002	Orçado	mar	310
F0008	00002	Orçado	mar	575
F0008	00002	Orçado	mar	4667
F0008	00002	Orçado	mar	619
F0008	00002	Orçado	mar	1504
F0008	00002	Orçado	mar	1349
F0008	00002	Orçado	mar	1482
F0008	00002	Orçado	mar	1305
F0008	00002	Orçado	mar	1084
F0008	00002	Orçado	mar	788
F0008	00002	Orçado	mar	722
F0008	00002	Orçado	mar	1182
F0008	00002	Orçado	mar	54547
F0008	00002	Orçado	mar	3019
F0008	00002	Orçado	mar	1182
F0008	00002	Orçado	mar	4529
F0008	00002	Orçado	mar	3938
F0008	00002	Orçado	mar	3938
F0008	00002	Orçado	mar	1641
F0008	00002	Orçado	mar	6105
F0008	00002	Orçado	mar	5645
F0008	00002	Orçado	mar	16344
F0008	00002	Orçado	mar	45226
F0008	00002	Orçado	mar	919
F0008	00002	Orçado	mar	1707
F0008	00002	Orçado	mar	13850
F0008	00002	Orçado	mar	1838
F0008	00002	Orçado	mar	4464
F0008	00002	Orçado	mar	4004
F0008	00002	Orçado	mar	4398
F0008	00002	Orçado	mar	3873
F0008	00002	Orçado	mar	3216
F0008	00002	Orçado	nov	730
F0008	00002	Orçado	nov	531
F0008	00002	Orçado	nov	288
F0008	00002	Orçado	nov	1681
F0008	00002	Orçado	nov	4070
F0008	00002	Orçado	nov	243
F0008	00002	Orçado	nov	2500
F0008	00002	Orçado	nov	2190
F0008	00002	Orçado	nov	796
F0008	00002	Orçado	nov	995
F0008	00002	Orçado	nov	2101
F0008	00002	Orçado	nov	8693
F0008	00002	Orçado	nov	664
F0008	00002	Orçado	nov	13383
F0008	00002	Orçado	nov	553
F0008	00002	Orçado	nov	509
F0008	00002	Orçado	nov	1460
F0008	00002	Orçado	nov	708
F0008	00002	Orçado	nov	553
F0008	00002	Orçado	nov	1327
F0008	00002	Orçado	nov	752
F0008	00002	Orçado	nov	1924
F0008	00002	Orçado	nov	2166
F0008	00002	Orçado	nov	1575
F0008	00002	Orçado	nov	853
F0008	00002	Orçado	nov	4989
F0008	00002	Orçado	nov	12078
F0008	00002	Orçado	nov	722
F0008	00002	Orçado	nov	7417
F0008	00002	Orçado	nov	6498
F0008	00002	Orçado	nov	2363
F0008	00002	Orçado	nov	2954
F0008	00002	Orçado	nov	6236
F0008	00002	Orçado	nov	25797
F0008	00002	Orçado	nov	1969
F0008	00002	Orçado	nov	39712
F0008	00002	Orçado	nov	1641
F0008	00002	Orçado	nov	1510
F0008	00002	Orçado	nov	4332
F0008	00002	Orçado	nov	2100
F0008	00002	Orçado	nov	1641
F0008	00002	Orçado	nov	3938
F0008	00002	Orçado	nov	2232
F0008	00002	Orçado	nov	5711
F0008	00002	Orçado	out	28933
F0008	00002	Orçado	out	575
F0008	00002	Orçado	out	1327
F0008	00002	Orçado	out	265
F0008	00002	Orçado	out	929
F0008	00002	Orçado	out	2433
F0008	00002	Orçado	out	332
F0008	00002	Orçado	out	3451
F0008	00002	Orçado	out	664
F0008	00002	Orçado	out	774
F0008	00002	Orçado	out	1703
F0008	00002	Orçado	out	1194
F0008	00002	Orçado	out	1571
F0008	00002	Orçado	out	1172
F0008	00002	Orçado	out	1239
F0008	00002	Orçado	out	774
F0008	00002	Orçado	out	1128
F0008	00002	Orçado	out	1040
F0008	00002	Orçado	out	2876
F0008	00002	Orçado	out	553
F0008	00002	Orçado	out	597
F0008	00002	Orçado	out	5287
F0008	00002	Orçado	out	1128
F0008	00002	Orçado	out	1902
F0008	00002	Orçado	out	6415
F0008	00002	Orçado	out	6459
F0008	00002	Orçado	out	6924
F0008	00002	Orçado	out	354
F0008	00002	Orçado	out	664
F0008	00002	Orçado	out	1106
F0008	00002	Orçado	out	664
F0008	00002	Orçado	out	1947
F0008	00002	Orçado	out	1217
F0008	00002	Orçado	out	730
F0008	00002	Orçado	out	2677
F0008	00002	Orçado	out	597
F0008	00002	Orçado	out	1792
F0008	00002	Orçado	out	509
F0008	00002	Orçado	out	1018
F0008	00002	Orçado	out	1482
F0008	00002	Orçado	out	5265
F0008	00002	Orçado	out	2809
F0008	00002	Orçado	out	1194
F0008	00002	Orçado	out	85857
F0008	00002	Orçado	out	1707
F0008	00002	Orçado	out	3938
F0008	00002	Orçado	out	788
F0008	00002	Orçado	out	2757
F0008	00002	Orçado	out	7220
F0008	00002	Orçado	out	985
F0008	00002	Orçado	out	10240
F0008	00002	Orçado	out	1969
F0008	00002	Orçado	out	2297
F0008	00002	Orçado	out	5054
F0008	00002	Orçado	out	3545
F0008	00002	Orçado	out	4660
F0008	00002	Orçado	out	3479
F0008	00002	Orçado	out	3676
F0008	00002	Orçado	out	2297
F0008	00002	Orçado	out	3348
F0008	00002	Orçado	out	3085
F0008	00002	Orçado	out	8533
F0008	00002	Orçado	out	1641
F0008	00002	Orçado	out	1772
F0008	00002	Orçado	out	15688
F0008	00002	Orçado	out	3348
F0008	00002	Orçado	out	5645
F0008	00002	Orçado	out	19036
F0008	00002	Orçado	out	19167
F0008	00002	Orçado	out	20545
F0008	00002	Orçado	out	1050
F0008	00002	Orçado	out	1969
F0008	00002	Orçado	out	3282
F0008	00002	Orçado	out	1969
F0008	00002	Orçado	out	5776
F0008	00002	Orçado	out	3610
F0008	00002	Orçado	out	2166
F0008	00002	Orçado	out	7942
F0008	00002	Orçado	out	1772
F0008	00002	Orçado	out	5317
F0008	00002	Orçado	out	1510
F0008	00002	Orçado	out	3019
F0008	00002	Orçado	out	4398
F0008	00002	Orçado	out	15622
F0008	00002	Orçado	out	8336
F0008	00002	Orçado	out	3545
F0008	00002	Orçado	set	17762
F0008	00002	Orçado	set	796
F0008	00002	Orçado	set	310
F0008	00002	Orçado	set	10485
F0008	00002	Orçado	set	3406
F0008	00002	Orçado	set	1150
F0008	00002	Orçado	set	1836
F0008	00002	Orçado	set	841
F0008	00002	Orçado	set	6946
F0008	00002	Orçado	set	1615
F0008	00002	Orçado	set	1659
F0008	00002	Orçado	set	354
F0008	00002	Orçado	set	929
F0008	00002	Orçado	set	1327
F0008	00002	Orçado	set	332
F0008	00002	Orçado	set	575
F0008	00002	Orçado	set	1703
F0008	00002	Orçado	set	641
F0008	00002	Orçado	set	52709
F0008	00002	Orçado	set	2363
F0008	00002	Orçado	set	919
F0008	00002	Orçado	set	31113
F0008	00002	Orçado	set	10109
F0008	00002	Orçado	set	3413
F0008	00002	Orçado	set	5448
F0008	00002	Orçado	set	2494
F0008	00002	Orçado	set	20611
F0008	00002	Orçado	set	4792
F0008	00002	Orçado	set	4923
F0008	00002	Orçado	set	1050
F0008	00002	Orçado	set	2757
F0008	00002	Orçado	set	3938
F0008	00002	Orçado	set	985
F0008	00002	Orçado	set	1707
F0008	00002	Orçado	set	5054
F0008	00002	Orçado	set	1904
F0009	00002	Orçado	abr	2560
F0009	00002	Orçado	abr	1510
F0009	00002	Orçado	abr	7220
F0009	00002	Orçado	abr	16016
F0009	00002	Orçado	abr	19823
F0009	00002	Orçado	abr	3085
F0009	00002	Orçado	abr	7053
F0009	00002	Orçado	abr	4159
F0009	00002	Orçado	abr	19892
F0009	00002	Orçado	abr	44125
F0009	00002	Orçado	abr	54614
F0009	00002	Orçado	abr	8499
F0009	00002	Orçado	ago	1247
F0009	00002	Orçado	ago	3436
F0009	00002	Orçado	dez	985
F0009	00002	Orçado	dez	2757
F0009	00002	Orçado	dez	7286
F0009	00002	Orçado	dez	2713
F0009	00002	Orçado	dez	7595
F0009	00002	Orçado	dez	20073
F0009	00002	Orçado	fev	2757
F0009	00002	Orçado	fev	10174
F0009	00002	Orçado	fev	10634
F0009	00002	Orçado	fev	591
F0009	00002	Orçado	fev	7595
F0009	00002	Orçado	fev	28030
F0009	00002	Orçado	fev	29296
F0009	00002	Orçado	fev	1628
F0009	00002	Orçado	jan	8074
F0009	00002	Orçado	jan	11553
F0009	00002	Orçado	jan	1969
F0009	00002	Orçado	jan	22243
F0009	00002	Orçado	jan	31828
F0009	00002	Orçado	jan	5425
F0009	00002	Orçado	jul	1510
F0009	00002	Orçado	jul	788
F0009	00002	Orçado	jul	1050
F0009	00002	Orçado	jul	4159
F0009	00002	Orçado	jul	2170
F0009	00002	Orçado	jul	2893
F0009	00002	Orçado	jun	4857
F0009	00002	Orçado	jun	13784
F0009	00002	Orçado	jun	1050
F0009	00002	Orçado	jun	13382
F0009	00002	Orçado	jun	37976
F0009	00002	Orçado	jun	2893
F0009	00002	Orçado	mai	15360
F0009	00002	Orçado	mai	6695
F0009	00002	Orçado	mai	42317
F0009	00002	Orçado	mai	18446
F0009	00002	Orçado	mar	3282
F0009	00002	Orçado	mar	1772
F0009	00002	Orçado	mar	26978
F0009	00002	Orçado	mar	2297
F0009	00002	Orçado	mar	9042
F0009	00002	Orçado	mar	4883
F0009	00002	Orçado	mar	74325
F0009	00002	Orçado	mar	6329
F0009	00002	Orçado	nov	3348
F0009	00002	Orçado	nov	2560
F0009	00002	Orçado	nov	2100
F0009	00002	Orçado	nov	15819
F0009	00002	Orçado	nov	7680
F0009	00002	Orçado	nov	7417
F0009	00002	Orçado	nov	9223
F0009	00002	Orçado	nov	7053
F0009	00002	Orçado	nov	5787
F0009	00002	Orçado	nov	43582
F0009	00002	Orçado	nov	21158
F0009	00002	Orçado	nov	20435
F0009	00002	Orçado	out	14703
F0009	00002	Orçado	out	8336
F0009	00002	Orçado	out	985
F0009	00002	Orçado	out	15294
F0009	00002	Orçado	out	14113
F0009	00002	Orçado	out	4989
F0009	00002	Orçado	out	6170
F0009	00002	Orçado	out	1378
F0009	00002	Orçado	out	40508
F0009	00002	Orçado	out	22967
F0009	00002	Orçado	out	2713
F0009	00002	Orçado	out	42136
F0009	00002	Orçado	out	38881
F0009	00002	Orçado	out	13744
F0009	00002	Orçado	out	16999
F0009	00002	Orçado	out	3798
F0009	00002	Orçado	set	4726
F0009	00002	Orçado	set	13020
F0010	00002	Orçado	abr	2991
F0010	00002	Orçado	abr	4375
F0010	00002	Orçado	abr	786
F0010	00002	Orçado	abr	1793
F0010	00002	Orçado	abr	5728
F0010	00002	Orçado	abr	11803
F0010	00002	Orçado	abr	4500
F0010	00002	Orçado	abr	3619
F0010	00002	Orçado	abr	9852
F0010	00002	Orçado	abr	10822
F0010	00002	Orçado	abr	15834
F0010	00002	Orçado	abr	2848
F0010	00002	Orçado	abr	6493
F0010	00002	Orçado	abr	20732
F0010	00002	Orçado	abr	42717
F0010	00002	Orçado	abr	16289
F0010	00002	Orçado	abr	13100
F0010	00002	Orçado	abr	35654
F0010	00002	Orçado	ago	5917
F0010	00002	Orçado	ago	2265
F0010	00002	Orçado	ago	3116
F0010	00002	Orçado	ago	3337
F0010	00002	Orçado	ago	2519
F0010	00002	Orçado	ago	2865
F0010	00002	Orçado	ago	6642
F0010	00002	Orçado	ago	314
F0010	00002	Orçado	ago	21415
F0010	00002	Orçado	ago	8202
F0010	00002	Orçado	ago	11277
F0010	00002	Orçado	ago	12075
F0010	00002	Orçado	ago	9113
F0010	00002	Orçado	ago	10366
F0010	00002	Orçado	ago	24035
F0010	00002	Orçado	ago	1139
F0010	00002	Orçado	dez	1449
F0010	00002	Orçado	dez	1039
F0010	00002	Orçado	dez	7365
F0010	00002	Orçado	dez	13724
F0010	00002	Orçado	dez	661
F0010	00002	Orçado	dez	5240
F0010	00002	Orçado	dez	3759
F0010	00002	Orçado	dez	26655
F0010	00002	Orçado	dez	49666
F0010	00002	Orçado	dez	2392
F0010	00002	Orçado	fev	3526
F0010	00002	Orçado	fev	5226
F0010	00002	Orçado	fev	12758
F0010	00002	Orçado	fev	18909
F0010	00002	Orçado	jan	11489
F0010	00002	Orçado	jan	41578
F0010	00002	Orçado	jul	1858
F0010	00002	Orçado	jul	1700
F0010	00002	Orçado	jul	3337
F0010	00002	Orçado	jul	9254
F0010	00002	Orçado	jul	1321
F0010	00002	Orçado	jul	1070
F0010	00002	Orçado	jul	598
F0010	00002	Orçado	jul	3588
F0010	00002	Orçado	jul	2235
F0010	00002	Orçado	jul	1228
F0010	00002	Orçado	jul	912
F0010	00002	Orçado	jul	346
F0010	00002	Orçado	jul	6721
F0010	00002	Orçado	jul	6151
F0010	00002	Orçado	jul	12075
F0010	00002	Orçado	jul	33490
F0010	00002	Orçado	jul	4784
F0010	00002	Orçado	jul	3873
F0010	00002	Orçado	jul	2164
F0010	00002	Orçado	jul	12986
F0010	00002	Orçado	jul	8088
F0010	00002	Orçado	jul	4443
F0010	00002	Orçado	jul	3303
F0010	00002	Orçado	jul	1253
F0010	00002	Orçado	jun	4375
F0010	00002	Orçado	jun	3746
F0010	00002	Orçado	jun	3619
F0010	00002	Orçado	jun	7019
F0010	00002	Orçado	jun	12119
F0010	00002	Orçado	jun	2612
F0010	00002	Orçado	jun	4628
F0010	00002	Orçado	jun	5508
F0010	00002	Orçado	jun	7398
F0010	00002	Orçado	jun	977
F0010	00002	Orçado	jun	15834
F0010	00002	Orçado	jun	13556
F0010	00002	Orçado	jun	13100
F0010	00002	Orçado	jun	25402
F0010	00002	Orçado	jun	43856
F0010	00002	Orçado	jun	9455
F0010	00002	Orçado	jun	16745
F0010	00002	Orçado	jun	19935
F0010	00002	Orçado	jun	26769
F0010	00002	Orçado	jun	3531
F0010	00002	Orçado	mai	1291
F0010	00002	Orçado	mai	1449
F0010	00002	Orçado	mai	5508
F0010	00002	Orçado	mai	2833
F0010	00002	Orçado	mai	2077
F0010	00002	Orçado	mai	2172
F0010	00002	Orçado	mai	2865
F0010	00002	Orçado	mai	3526
F0010	00002	Orçado	mai	4910
F0010	00002	Orçado	mai	1826
F0010	00002	Orçado	mai	1321
F0010	00002	Orçado	mai	2203
F0010	00002	Orçado	mai	4670
F0010	00002	Orçado	mai	5240
F0010	00002	Orçado	mai	19935
F0010	00002	Orçado	mai	10252
F0010	00002	Orçado	mai	7518
F0010	00002	Orçado	mai	7860
F0010	00002	Orçado	mai	10366
F0010	00002	Orçado	mai	12758
F0010	00002	Orçado	mai	17770
F0010	00002	Orçado	mai	6607
F0010	00002	Orçado	mai	4784
F0010	00002	Orçado	mai	7974
F0010	00002	Orçado	mar	1921
F0010	00002	Orçado	mar	1196
F0010	00002	Orçado	mar	6326
F0010	00002	Orçado	mar	3777
F0010	00002	Orçado	mar	2456
F0010	00002	Orçado	mar	16524
F0010	00002	Orçado	mar	6516
F0010	00002	Orçado	mar	1039
F0010	00002	Orçado	mar	630
F0010	00002	Orçado	mar	6949
F0010	00002	Orçado	mar	4329
F0010	00002	Orçado	mar	22896
F0010	00002	Orçado	mar	13669
F0010	00002	Orçado	mar	8885
F0010	00002	Orçado	mar	59804
F0010	00002	Orçado	mar	23580
F0010	00002	Orçado	mar	3759
F0010	00002	Orçado	mar	2278
F0010	00002	Orçado	nov	2298
F0010	00002	Orçado	nov	4156
F0010	00002	Orçado	nov	8316
F0010	00002	Orçado	nov	15036
F0010	00002	Orçado	out	2896
F0010	00002	Orçado	out	3116
F0010	00002	Orçado	out	4156
F0010	00002	Orçado	out	1574
F0010	00002	Orçado	out	10891
F0010	00002	Orçado	out	15173
F0010	00002	Orçado	out	17470
F0010	00002	Orçado	out	23229
F0010	00002	Orçado	out	9159
F0010	00002	Orçado	out	10545
F0010	00002	Orçado	out	409
F0010	00002	Orçado	out	1321
F0010	00002	Orçado	out	756
F0010	00002	Orçado	out	1763
F0010	00002	Orçado	out	10480
F0010	00002	Orçado	out	11277
F0010	00002	Orçado	out	15036
F0010	00002	Orçado	out	5696
F0010	00002	Orçado	out	39414
F0010	00002	Orçado	out	54906
F0010	00002	Orçado	out	63221
F0010	00002	Orçado	out	84067
F0010	00002	Orçado	out	33148
F0010	00002	Orçado	out	38161
F0010	00002	Orçado	out	1481
F0010	00002	Orçado	out	4784
F0010	00002	Orçado	out	2734
F0010	00002	Orçado	out	6379
F0010	00002	Orçado	set	1605
F0010	00002	Orçado	set	2581
F0010	00002	Orçado	set	1637
F0010	00002	Orçado	set	8435
F0010	00002	Orçado	set	2738
F0010	00002	Orçado	set	17627
F0010	00002	Orçado	set	3777
F0010	00002	Orçado	set	377
F0010	00002	Orçado	set	1793
F0010	00002	Orçado	set	1102
F0010	00002	Orçado	set	5810
F0010	00002	Orçado	set	9341
F0010	00002	Orçado	set	5923
F0010	00002	Orçado	set	30528
F0010	00002	Orçado	set	9910
F0010	00002	Orçado	set	63791
F0010	00002	Orçado	set	13669
F0010	00002	Orçado	set	1367
F0010	00002	Orçado	set	6493
F0010	00002	Orçado	set	3987
F0002	00003	Orçado	abr	177
F0002	00003	Orçado	abr	420
F0002	00003	Orçado	abr	929
F0002	00003	Orçado	abr	243
F0002	00003	Orçado	abr	354
F0002	00003	Orçado	abr	487
F0002	00003	Orçado	abr	243
F0002	00003	Orçado	abr	288
F0002	00003	Orçado	abr	597
F0002	00003	Orçado	abr	1172
F0002	00003	Orçado	abr	796
F0002	00003	Orçado	abr	288
F0002	00003	Orçado	abr	243
F0002	00003	Orçado	abr	243
F0002	00003	Orçado	abr	3628
F0002	00003	Orçado	abr	332
F0002	00003	Orçado	abr	265
F0002	00003	Orçado	abr	951
F0002	00003	Orçado	abr	310
F0002	00003	Orçado	abr	442
F0002	00003	Orçado	abr	465
F0002	00003	Orçado	abr	288
F0002	00003	Orçado	abr	525
F0002	00003	Orçado	abr	1247
F0002	00003	Orçado	abr	2757
F0002	00003	Orçado	abr	722
F0002	00003	Orçado	abr	1050
F0002	00003	Orçado	abr	1444
F0002	00003	Orçado	abr	722
F0002	00003	Orçado	abr	853
F0002	00003	Orçado	abr	1772
F0002	00003	Orçado	abr	3479
F0002	00003	Orçado	abr	2363
F0002	00003	Orçado	abr	853
F0002	00003	Orçado	abr	722
F0002	00003	Orçado	abr	722
F0002	00003	Orçado	abr	10765
F0002	00003	Orçado	abr	985
F0002	00003	Orçado	abr	788
F0002	00003	Orçado	abr	2823
F0002	00003	Orçado	abr	919
F0002	00003	Orçado	abr	1313
F0002	00003	Orçado	abr	1378
F0002	00003	Orçado	abr	853
F0002	00003	Orçado	ago	487
F0002	00003	Orçado	ago	398
F0002	00003	Orçado	ago	664
F0002	00003	Orçado	ago	1615
F0002	00003	Orçado	ago	310
F0002	00003	Orçado	ago	288
F0002	00003	Orçado	ago	796
F0002	00003	Orçado	ago	708
F0002	00003	Orçado	ago	465
F0002	00003	Orçado	ago	465
F0002	00003	Orçado	ago	487
F0002	00003	Orçado	ago	951
F0002	00003	Orçado	ago	619
F0002	00003	Orçado	ago	243
F0002	00003	Orçado	ago	531
F0002	00003	Orçado	ago	664
F0002	00003	Orçado	ago	442
F0002	00003	Orçado	ago	1444
F0002	00003	Orçado	ago	1182
F0002	00003	Orçado	ago	1969
F0002	00003	Orçado	ago	4792
F0002	00003	Orçado	ago	919
F0002	00003	Orçado	ago	853
F0002	00003	Orçado	ago	2363
F0002	00003	Orçado	ago	2100
F0002	00003	Orçado	ago	1378
F0002	00003	Orçado	ago	1378
F0002	00003	Orçado	ago	1444
F0002	00003	Orçado	ago	2823
